epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.6902606480225577,0.3925734343247737,0.18591223130205797,0.26818693585805664,0.12013994787852475
2,2.4242720410106626,0.3236652503232958,0.12926976620687802,0.1988803239892919,0.06905928677689055
3,2.086744615437803,0.43099944577868093,0.22358653314060548,0.3303705084183456,0.15230084280603257
4,1.7294977854025955,0.5146868649547386,0.3019012577778726,0.4368443739014566,0.22909166355129804
5,1.353130101276519,0.5952336966561981,0.43293594122244605,0.5353281794738562,0.3788492634438261
6,1.0966849315633442,0.6283022353593202,0.4630564413262206,0.57409008756471,0.40029807915015686
7,0.9263017411947426,0.6543506373545169,0.5114695551285798,0.6057119680630418,0.46318830480008855
8,0.8041609442419064,0.7101422501385554,0.6298997716837074,0.6706594839670869,0.617637615333503
9,0.7085154976390153,0.7899501200812858,0.6870659458131196,0.7639720422628872,0.6875937943370115
10,0.6253562486797285,0.8100868280066507,0.7702851340431194,0.7863525768915508,0.7808964994382133
11,0.5601451184162808,0.804359874376501,0.7922121400433335,0.7792919830558533,0.7970898375724751
12,0.5137448950071116,0.8677258451875115,0.841651053197854,0.8523879963813291,0.8499834714800169
13,0.46346212763832134,0.8603362276002217,0.8362572982031462,0.8436329724686327,0.8456141281010365
14,0.42676783396593304,0.8825050803620913,0.8821538510068433,0.8686052925380914,0.8919490569224271
15,0.39628718525766005,0.8884167744319231,0.8955364016043593,0.8752807226294101,0.9067627376463695
