epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,0.9859341849978628,0.9289221416880992,0.8459162312457721,0.9052338479988554,0.8336908195477306
2,0.2348977026013757,0.9742810381108253,0.9501432406808958,0.9658282393826,0.959219306369454
3,0.11912471624576854,0.9784895955108721,0.9561310714152668,0.9714312702435106,0.9646235822015442
4,0.09282384667199768,0.9796586392331074,0.9632695336688263,0.9730077277465491,0.9675832327573775
5,0.08119057383678326,0.9824643441664719,0.9681818368364934,0.9767607242438514,0.9714580338202933
6,0.06990364176147809,0.983633387888707,0.9710026196009451,0.9783009873887852,0.97278057744071
7,0.06944864708298774,0.9857376665887304,0.974571727164719,0.9810883041377803,0.976836975652652
8,0.060632375267769566,0.9864390928220715,0.9750030264748489,0.9820178296525239,0.9776770846419888
9,0.0586370599985485,0.9859714753331774,0.9750448755400904,0.9813970374010018,0.976774407956883
10,0.056051676615163325,0.983633387888707,0.9717978547899128,0.9783199688445954,0.973444932373915
11,0.047248733621234364,0.9848024316109423,0.976697199757584,0.9798705321983511,0.9767915553223498
12,0.04528336645719574,0.9859714753331774,0.9755353290931696,0.9813951815825782,0.9769940789872797
