dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
salinas,spectral_qnn_gated_prototype,5,1,0.8518250477834066,0.9422198878709899,0.835614798087168,0.938500902860451,0.8532076282803546,30,67.88651204109192,94.38475179672241,2176,80,160,53889
salinas,spectral_qnn_gated_prototype,5,2,0.8627178088292602,0.9243707513512545,0.8471126853554397,0.9201342749674054,0.8622094344774328,17,46.26394701004028,95.87693166732788,2176,80,160,53889
