dataset,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
indian_pines,5,1,1,2.795795440673828,0.05,2.774140341528531,0.06896551724137931,0.0625,0.0,0.008064516129032258,0.008898776418242492
indian_pines,5,1,2,2.738587236404419,0.1375,2.7703254337968497,0.06206896551724138,0.05625,-0.007407407407407307,0.007352941176470588,0.008113590263691683
indian_pines,5,1,3,2.668946313858032,0.1625,2.7602445947712866,0.09655172413793103,0.0890625,0.03071898760014291,0.03884711779448621,0.041413879526402214
indian_pines,5,1,4,2.6713852882385254,0.1125,2.7372285596255597,0.15172413793103448,0.1796875,0.0944402132520944,0.09949710536094976,0.08876884095064479
indian_pines,5,1,5,2.6195857524871826,0.1875,2.713490056991577,0.2827586206896552,0.3375,0.23432343234323427,0.23815084224291383,0.2128095276697446
indian_pines,5,1,6,2.5589060306549074,0.3125,2.6899412303135315,0.2689655172413793,0.3265625,0.21963850528025985,0.20911052907540023,0.17689381961367748
indian_pines,5,1,7,2.5317870140075684,0.3875,2.663832730260389,0.2689655172413793,0.325,0.22165392211475166,0.21594355206197313,0.19939221093486065
indian_pines,5,1,8,2.5204022884368897,0.3375,2.6352904155336576,0.4689655172413793,0.5171875,0.43388094513741005,0.44010470631020165,0.4274099677056867
indian_pines,5,1,9,2.5174532413482664,0.2875,2.60896147695081,0.5448275862068965,0.5875,0.5139911634756995,0.5093398531248831,0.4926221060481837
indian_pines,5,1,10,2.4668911933898925,0.35,2.574364946628439,0.5862068965517241,0.625,0.558330795004569,0.5423056563002215,0.5301303793657617
indian_pines,5,1,11,2.469323205947876,0.3625,2.5351857875955517,0.6137931034482759,0.65,0.5883814061945557,0.5439162867000419,0.5385742933701612
indian_pines,5,1,12,2.3780879974365234,0.475,2.490062146351255,0.6206896551724138,0.65625,0.5955472157419617,0.5512364926207638,0.5448726515275594
indian_pines,5,1,13,2.4193819046020506,0.4,2.4431200093236463,0.6137931034482759,0.65,0.5883814061945556,0.5352301207564365,0.530685334024717
indian_pines,5,1,14,2.3897300243377684,0.45,2.4003311732719683,0.6068965517241379,0.64375,0.5813706123689408,0.5348625220238997,0.5339531362911314
indian_pines,5,1,15,2.379210090637207,0.3625,2.33672052909588,0.5793103448275863,0.6171875,0.5522425837805001,0.5105082592210739,0.5110353440977603
indian_pines,5,1,16,2.3768808841705322,0.3875,2.3072697179070834,0.5655172413793104,0.6015625,0.5380764563106797,0.49434533349490783,0.500312092132312
indian_pines,5,1,17,2.316635990142822,0.475,2.2941631202040047,0.5724137931034483,0.6078125,0.545247609894279,0.5016637647736983,0.507625352055188
indian_pines,5,1,18,2.2565127849578857,0.575,2.2904313728727144,0.6,0.6328125,0.5742849911414831,0.5197455743104131,0.5257841631335999
indian_pines,5,1,19,2.1884493827819824,0.5375,2.2652954249546444,0.6206896551724138,0.6546875,0.5960184387822298,0.5408742247461287,0.5414740149553857
indian_pines,5,1,20,2.167887878417969,0.5375,2.2318059822608687,0.6275862068965518,0.6609375,0.6033233699782158,0.5476673608039707,0.5483388322055985
indian_pines,5,1,21,2.127783441543579,0.525,2.2038943981302195,0.6206896551724138,0.6546875,0.5962638586543817,0.5400293240265814,0.5417041841719595
indian_pines,5,1,22,2.0961937427520754,0.6,2.1866075548632393,0.6068965517241379,0.6390625,0.5819000404694457,0.5258745421245421,0.5329518757104964
indian_pines,5,1,23,2.143835163116455,0.6125,2.1681198333871774,0.5862068965517241,0.61875,0.5600060688818085,0.5070490851740852,0.5141822417684486
indian_pines,5,1,24,2.146826076507568,0.5125,2.124569261485133,0.593103448275862,0.625,0.5676235722227838,0.511729232924885,0.5215498566623004
indian_pines,5,1,25,2.086652946472168,0.5625,2.0855747354441676,0.593103448275862,0.6234375,0.5669012301928821,0.5084356581894945,0.5107792553352126
indian_pines,5,1,26,2.068252754211426,0.5875,2.0637889746961924,0.6206896551724138,0.6484375,0.5954241071428572,0.549137956950457,0.5483723875103186
indian_pines,5,1,27,2.017480564117432,0.5625,2.0353768751539034,0.6068965517241379,0.6359375,0.5807122564935064,0.5283916641932946,0.525479926536898
indian_pines,5,1,28,2.0333355903625487,0.55,2.0187962696470065,0.593103448275862,0.6234375,0.5663084254283687,0.5064560881952187,0.5032866472746532
indian_pines,5,1,29,1.969212794303894,0.5875,2.0099244701451267,0.5862068965517241,0.6171875,0.5592035263717892,0.4973555618152805,0.49993735889493895
indian_pines,5,1,30,1.9578503370285034,0.5875,2.0050204515457155,0.5862068965517241,0.6171875,0.5600060688818085,0.5055801298853341,0.5162673452006847
indian_pines,5,1,31,1.8724759340286254,0.5625,1.99351998115408,0.5862068965517241,0.61875,0.5598725147973895,0.5104898901193405,0.5181691225515289
indian_pines,5,1,32,1.8510627746582031,0.6,1.9750766112886626,0.5862068965517241,0.61875,0.559761157777553,0.5045910777818672,0.5115204819379048
indian_pines,5,1,33,1.8820753335952758,0.5375,1.9277456628865208,0.5793103448275863,0.6109375,0.5512885551948052,0.5000620352013541,0.4942196462699292
indian_pines,5,1,34,1.8230982303619385,0.6125,1.8515565518675179,0.593103448275862,0.6234375000000001,0.5655375552282769,0.517193303143894,0.5089453955115647
indian_pines,5,1,35,1.847969150543213,0.525,1.790218240639259,0.593103448275862,0.6234375,0.5655816787691058,0.5143598048489353,0.5076707178656203
indian_pines,5,1,36,1.730797791481018,0.625,1.757037878036499,0.593103448275862,0.6234375,0.5656037371788363,0.5096509971509972,0.5037528244424796
indian_pines,5,1,37,1.731571412086487,0.5375,1.7433290728207291,0.5862068965517241,0.6171875,0.5588459003093149,0.5008654887398933,0.4980230655761611
indian_pines,5,1,38,1.7164968729019165,0.6375,1.7486133723423398,0.6137931034482759,0.6421875,0.5881935287554518,0.5413223920911278,0.5454627738972408
indian_pines,5,1,39,1.8403085947036744,0.575,1.7561476912991754,0.6413793103448275,0.66875,0.6170061461878398,0.5803198537573537,0.5772390444804237
indian_pines,5,1,40,1.593213725090027,0.6,1.7386034546227291,0.6551724137931034,0.68125,0.6313809233272321,0.6044044227161338,0.595664650353435
indian_pines,5,1,41,1.5725099086761474,0.625,1.6965688993190897,0.6344827586206897,0.6625000000000001,0.6093432289548597,0.5761926912492115,0.5658480928070116
indian_pines,5,1,42,1.629906177520752,0.6,1.6501809736777997,0.6275862068965518,0.65625,0.6019723464823099,0.5603892283666865,0.5484097889366393
indian_pines,5,1,43,1.6335307836532593,0.55,1.59487333708796,0.6344827586206897,0.665625,0.6097003555104115,0.5661282322355569,0.5571070148806145
indian_pines,5,1,44,1.5455390453338622,0.625,1.5419985253235389,0.6344827586206897,0.66875,0.6107283963124304,0.5552998880204763,0.5542981697139912
indian_pines,5,1,45,1.4964138984680175,0.6125,1.5168675167807217,0.6413793103448275,0.675,0.6183437942903423,0.567577982407142,0.5694556071981282
indian_pines,5,1,46,1.5033253669738769,0.575,1.4845936372362334,0.6482758620689655,0.68125,0.6255506607929515,0.5758997946497947,0.5778760461156105
indian_pines,5,1,47,1.5817271232604981,0.6375,1.4803936810329044,0.6827586206896552,0.7093750000000001,0.6614041321894512,0.6326459200601077,0.6338941786270753
indian_pines,5,1,48,1.4609453201293945,0.675,1.4924962479492714,0.6827586206896552,0.70625,0.6609911054637865,0.639054386576765,0.6365323220742569
