0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3706,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,1955,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1374,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,135,2528,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3943,0,0,0,0,0,0,0,0,0,0
0,0,1,0,30,63,3469,0,0,0,0,0,0,0,0,1
0,0,0,2,9,0,0,8041,0,63,0,0,0,0,3141,0
0,0,0,0,0,0,0,0,6188,0,0,0,0,0,0,0
0,0,47,0,0,0,0,0,81,2860,93,3,0,179,0,0
0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,57,1854,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,701,200,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1055,0,0
0,0,0,101,9,0,0,1560,0,1,0,0,0,0,5582,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792
