dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_gated_supcon,10,2,1,2.6625118494033813,2.5571092128753663,0.5270131528377533,0.25,2.185886299610138,0.45,0.45,0.41333333333333333,0.40216306306569993,0.40216306306569993
salinas,spectral_qnn_gated_supcon,10,2,2,2.0016265630722048,1.923132562637329,0.3924700155854225,0.60625,1.6581882119178772,0.70625,0.70625,0.6866666666666666,0.6379547147236373,0.6379547147236373
salinas,spectral_qnn_gated_supcon,10,2,3,1.5183392405509948,1.4076247334480285,0.5535725355148315,0.7875,1.2146605193614959,0.84375,0.84375,0.8333333333333334,0.8127915286467917,0.8127915286467917
salinas,spectral_qnn_gated_supcon,10,2,4,1.0724021255970002,0.9900190711021424,0.41191523522138596,0.9125,0.8636827528476715,0.94375,0.94375,0.94,0.9424120126519506,0.9424120126519508
salinas,spectral_qnn_gated_supcon,10,2,5,0.7640028774738312,0.6783210963010788,0.42840890884399413,0.9625,0.6111453980207443,0.9625,0.9625,0.96,0.9620214218410477,0.9620214218410477
salinas,spectral_qnn_gated_supcon,10,2,6,0.5430995166301728,0.46103801131248473,0.41030748188495636,0.98125,0.446929457783699,0.9625,0.9625,0.96,0.9620214218410477,0.9620214218410477
salinas,spectral_qnn_gated_supcon,10,2,7,0.41061619818210604,0.3265646070241928,0.42025794461369514,0.99375,0.3492164611816406,0.96875,0.96875,0.9666666666666667,0.968192151695988,0.968192151695988
salinas,spectral_qnn_gated_supcon,10,2,8,0.3245829552412033,0.24663447439670563,0.38974239528179166,1.0,0.28295274674892423,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,9,0.2923727735877037,0.19505759924650193,0.4865758493542671,0.99375,0.23813514560461044,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,10,0.25006097853183745,0.16094444021582605,0.4455826826393604,1.0,0.20905993431806563,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,11,0.19780348390340804,0.13436367511749267,0.31719904094934465,0.99375,0.18128309547901153,0.99375,0.99375,0.9933333333333333,0.9937343358395989,0.993734335839599
salinas,spectral_qnn_gated_supcon,10,2,12,0.221067875623703,0.11455203071236611,0.5325792215764522,0.99375,0.16525038033723832,0.975,0.975,0.9733333333333334,0.9747474747474747,0.9747474747474747
salinas,spectral_qnn_gated_supcon,10,2,13,0.16540018767118453,0.10010669901967048,0.3264674425125122,1.0,0.1540941283106804,0.975,0.975,0.9733333333333334,0.9747474747474747,0.9747474747474747
salinas,spectral_qnn_gated_supcon,10,2,14,0.15949613302946092,0.08849323689937591,0.35501447021961213,1.0,0.1372912548482418,0.99375,0.99375,0.9933333333333333,0.9937343358395989,0.993734335839599
salinas,spectral_qnn_gated_supcon,10,2,15,0.17117011696100234,0.0791320376098156,0.4601903840899467,0.99375,0.12994676530361177,0.975,0.975,0.9733333333333334,0.9747474747474747,0.9747474747474747
salinas,spectral_qnn_gated_supcon,10,2,16,0.13985177800059317,0.0709151927381754,0.344682914018631,1.0,0.11962606012821198,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,17,0.15654087588191032,0.0637030579149723,0.4641890823841095,0.99375,0.1129455417394638,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,18,0.16755695641040802,0.057606682367622855,0.5497513502836228,1.0,0.11369125992059707,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,2,19,0.13936560079455376,0.05201318748295307,0.4367620535194874,1.0,0.1040195483714342,0.975,0.975,0.9733333333333334,0.9747474747474747,0.9747474747474747
salinas,spectral_qnn_gated_supcon,10,2,20,0.10589459463953972,0.04784688018262386,0.29023857936263087,1.0,0.10252085626125336,0.975,0.975,0.9733333333333334,0.9747474747474747,0.9747474747474747
salinas,spectral_qnn_gated_supcon,10,2,21,0.12483683004975318,0.043322668969631196,0.4075708076357841,1.0,0.09360941722989083,0.9875,0.9875,0.9866666666666667,0.9873737373737373,0.9873737373737373
