dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,high_confidence_guard_mode,guard_floor,guard_tau,guard_temperature,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_mean_guard,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,1,1.0,1.0,none,0.05,0.35,0.08,0.8533042848110199,0.7063068330287934,0.6094599366188049,0.251054510474205,1.0,0.90625,0.7306248277425766,0.925,0.925,0.92,0.9179345317789254,0.9179345317789253
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,2,1.0,1.0,none,0.05,0.35,0.08,0.7915316045284271,0.6795710921287537,0.43743636310100553,0.24473233968019487,1.0,0.91875,0.7114069730043411,0.91875,0.91875,0.9133333333333333,0.9096367813473076,0.9096367813473076
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,3,1.0,1.0,none,0.05,0.35,0.08,0.7712653040885925,0.6547395050525665,0.46169948726892474,0.2418590009212494,1.0,0.91875,0.6880401730537414,0.91875,0.91875,0.9133333333333333,0.9139224956330219,0.9139224956330219
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,4,1.0,1.0,none,0.05,0.35,0.08,0.7721550345420838,0.631671804189682,0.5814482688903808,0.2419356882572174,1.0,0.9375,0.665680930018425,0.925,0.925,0.92,0.9235522157254136,0.9235522157254137
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,5,1.0,1.0,none,0.05,0.35,0.08,0.7331644535064697,0.6062545359134675,0.512109050154686,0.2448810711503029,1.0,0.9375,0.6412040084600449,0.9125,0.9125,0.9066666666666666,0.9110774291600697,0.9110774291600698
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,6,1.0,1.0,none,0.05,0.35,0.08,0.7138673841953278,0.5777763247489929,0.5563103035092354,0.24829003661870958,1.0,0.95625,0.6161696434020996,0.925,0.925,0.92,0.9220065562456867,0.9220065562456867
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,7,1.0,1.0,none,0.05,0.35,0.08,0.6589581936597824,0.5453929483890534,0.4418049596250057,0.2520423948764801,1.0,0.9625,0.5910400211811065,0.925,0.925,0.92,0.9221367813473076,0.9221367813473076
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,8,1.0,1.0,none,0.05,0.35,0.08,0.6411960780620575,0.5196454584598541,0.4802069813013077,0.2550922423601151,1.0,0.9625,0.5683331519365311,0.94375,0.94375,0.94,0.9416677449965494,0.9416677449965494
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,9,1.0,1.0,none,0.05,0.35,0.08,0.6161582440137863,0.4958060622215271,0.4731150075793266,0.2572918847203255,1.0,0.96875,0.5450595408678055,0.91875,0.91875,0.9133333333333333,0.9139224956330219,0.9139224956330219
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,10,1.0,1.0,none,0.05,0.35,0.08,0.5754446148872375,0.4667820900678635,0.4135901629924774,0.2594448462128639,1.0,0.9625,0.5196337580680848,0.93125,0.9312499999999999,0.9266666666666666,0.929669315892226,0.9296693158922261
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,11,1.0,1.0,none,0.05,0.35,0.08,0.5397988557815552,0.4433191180229187,0.35168701857328416,0.26142340451478957,1.0,0.975,0.4995475083589554,0.91875,0.91875,0.9133333333333333,0.9108241904294536,0.9108241904294536
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,12,1.0,1.0,none,0.05,0.35,0.08,0.5487250477075577,0.42285586297512057,0.4978537291288376,0.2629843711853027,1.0,0.9625,0.48510508686304094,0.91875,0.91875,0.9133333333333333,0.9046740905293538,0.9046740905293535
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,13,1.0,1.0,none,0.05,0.35,0.08,0.5266701132059097,0.4050265818834305,0.476399239897728,0.2636368900537491,1.0,0.95625,0.4703473046422005,0.9125,0.9125,0.9066666666666666,0.8985487640378944,0.8985487640378945
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,14,1.0,1.0,none,0.05,0.35,0.08,0.5406673818826675,0.3914355129003525,0.6146710336208343,0.2629766330122948,1.0,0.9625,0.45902013778686523,0.925,0.925,0.92,0.9153769841269841,0.9153769841269842
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,15,1.0,1.0,none,0.05,0.35,0.08,0.4983049720525742,0.3775471240282059,0.47292082831263543,0.26173692047595976,1.0,0.9625,0.4476058453321457,0.925,0.925,0.92,0.9106691919191919,0.910669191919192
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,16,1.0,1.0,none,0.05,0.35,0.08,0.4859508782625198,0.36797746568918227,0.45993060022592547,0.2598729819059372,1.0,0.9375,0.4383571341633797,0.9125,0.9125,0.9066666666666666,0.8916700875752599,0.89167008757526
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,17,1.0,1.0,none,0.05,0.35,0.08,0.4651923209428787,0.35527517199516295,0.42086952179670334,0.25743253380060194,1.0,0.9625,0.4274778261780739,0.925,0.925,0.92,0.9219246031746031,0.9219246031746031
salinas,spectral_qnn_prelogit_confguard_gated_supcon,10,0,18,1.0,1.0,none,0.05,0.35,0.08,0.45938669741153715,0.3455651193857193,0.4420707799494267,0.2540742754936218,1.0,0.95,0.41944395303726195,0.9125,0.9125,0.9066666666666666,0.8919249861854217,0.8919249861854219
