class_id,class_name,precision,recall,f1,support,accuracy,dataset,shot,seed,model_key,model
7,Hay-windrowed,0.8819047619047619,1.0,0.937246963562753,463,1.0,indian_pines,5,2,hybridsn_small,HybridSN-small
8,Oats,0.0670391061452514,1.0,0.1256544502617801,12,1.0,indian_pines,5,2,hybridsn_small,HybridSN-small
9,Soybean-notill,0.8086185044359949,0.6666666666666666,0.7308132875143184,957,0.6666666666666666,indian_pines,5,2,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.8292134831460675,0.7561475409836066,0.7909967845659164,2440,0.7561475409836066,indian_pines,5,2,hybridsn_small,HybridSN-small
11,Soybean-clean,0.5032894736842105,0.2647058823529412,0.3469387755102041,578,0.2647058823529412,indian_pines,5,2,hybridsn_small,HybridSN-small
12,Wheat,0.4279279279279279,1.0,0.5993690851735016,190,1.0,indian_pines,5,2,hybridsn_small,HybridSN-small
13,Woods,0.8426183844011143,0.968,0.9009679821295606,1250,0.968,indian_pines,5,2,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.4302325581395348,0.9973045822102424,0.6011372867587328,371,0.9973045822102424,indian_pines,5,2,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.227405247813411,1.0,0.3705463182897862,78,1.0,indian_pines,5,2,hybridsn_small,HybridSN-small
0,Alfalfa,0.3203883495145631,1.0,0.4852941176470588,33,1.0,indian_pines,5,3,hybridsn_small,HybridSN-small
1,Corn-notill,0.9017580144777664,0.6171266808209483,0.7327731092436974,1413,0.6171266808209483,indian_pines,5,3,hybridsn_small,HybridSN-small
2,Corn-mintill,0.3102362204724409,0.4834355828220859,0.3779376498800959,815,0.4834355828220859,indian_pines,5,3,hybridsn_small,HybridSN-small
3,Corn,0.8825910931174089,0.981981981981982,0.929637526652452,222,0.981981981981982,indian_pines,5,3,hybridsn_small,HybridSN-small
4,Grass-pasture,0.5763888888888888,0.7094017094017094,0.6360153256704981,468,0.7094017094017094,indian_pines,5,3,hybridsn_small,HybridSN-small
5,Grass-trees,0.751357220412595,0.967832167832168,0.8459657701711492,715,0.967832167832168,indian_pines,5,3,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.3653846153846153,1.0,0.5352112676056338,19,1.0,indian_pines,5,3,hybridsn_small,HybridSN-small
7,Hay-windrowed,1.0,0.9870410367170628,0.9934782608695653,463,0.9870410367170628,indian_pines,5,3,hybridsn_small,HybridSN-small
8,Oats,0.1132075471698113,1.0,0.2033898305084746,12,1.0,indian_pines,5,3,hybridsn_small,HybridSN-small
9,Soybean-notill,0.75,0.6927899686520376,0.7202607278652906,957,0.6927899686520376,indian_pines,5,3,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.9391741071428572,0.6897540983606557,0.7953686200378072,2440,0.6897540983606557,indian_pines,5,3,hybridsn_small,HybridSN-small
11,Soybean-clean,0.8164556962025317,0.4463667820069204,0.5771812080536913,578,0.4463667820069204,indian_pines,5,3,hybridsn_small,HybridSN-small
12,Wheat,0.2567567567567567,1.0,0.4086021505376344,190,1.0,indian_pines,5,3,hybridsn_small,HybridSN-small
13,Woods,0.9856194690265486,0.7128,0.8272980501392758,1250,0.7128,indian_pines,5,3,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.967741935483871,0.9703504043126684,0.9690444145356664,371,0.9703504043126684,indian_pines,5,3,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.2460567823343848,1.0,0.3949367088607595,78,1.0,indian_pines,5,3,hybridsn_small,HybridSN-small
0,Alfalfa,0.12890625,1.0,0.2283737024221453,33,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
1,Corn-notill,0.6654411764705882,0.5123849964614295,0.578968412634946,1413,0.5123849964614295,indian_pines,5,4,hybridsn_small,HybridSN-small
2,Corn-mintill,0.9022556390977444,0.4417177914110429,0.5930807248764415,815,0.4417177914110429,indian_pines,5,4,hybridsn_small,HybridSN-small
3,Corn,0.7062937062937062,0.90990990990991,0.7952755905511811,222,0.90990990990991,indian_pines,5,4,hybridsn_small,HybridSN-small
4,Grass-pasture,0.6853448275862069,0.6794871794871795,0.6824034334763949,468,0.6794871794871795,indian_pines,5,4,hybridsn_small,HybridSN-small
5,Grass-trees,0.7901554404145078,0.8531468531468531,0.82044384667115,715,0.8531468531468531,indian_pines,5,4,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.3064516129032258,1.0,0.4691358024691358,19,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.8357400722021661,1.0,0.9105211406096362,463,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
8,Oats,0.1081081081081081,1.0,0.1951219512195122,12,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
9,Soybean-notill,0.8112745098039216,0.6917450365726228,0.7467569091934574,957,0.6917450365726228,indian_pines,5,4,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.8729005901044031,0.7881147540983606,0.8283437432694378,2440,0.7881147540983606,indian_pines,5,4,hybridsn_small,HybridSN-small
11,Soybean-clean,0.659942363112392,0.7923875432525952,0.720125786163522,578,0.7923875432525952,indian_pines,5,4,hybridsn_small,HybridSN-small
12,Wheat,0.3119868637110016,1.0,0.4755944931163955,190,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
13,Woods,0.995656894679696,0.7336,0.8447719944725933,1250,0.7336,indian_pines,5,4,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.6157894736842106,0.9460916442048516,0.7460148777895855,371,0.9460916442048516,indian_pines,5,4,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.3561643835616438,1.0,0.5252525252525253,78,1.0,indian_pines,5,4,hybridsn_small,HybridSN-small
0,Alfalfa,0.2871287128712871,1.0,0.4461538461538462,29,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
1,Corn-notill,0.7874015748031497,0.7102272727272727,0.7468259895444361,1408,0.7102272727272727,indian_pines,10,0,hybridsn_small,HybridSN-small
2,Corn-mintill,0.7932692307692307,0.8148148148148148,0.8038976857490865,810,0.8148148148148148,indian_pines,10,0,hybridsn_small,HybridSN-small
3,Corn,0.7824427480916031,0.9447004608294932,0.8559498956158664,217,0.9447004608294932,indian_pines,10,0,hybridsn_small,HybridSN-small
4,Grass-pasture,0.941031941031941,0.8272138228941684,0.8804597701149425,463,0.8272138228941684,indian_pines,10,0,hybridsn_small,HybridSN-small
