epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.3397350260056555,0.7180487804878048,0.56401915872707,0.6757010921447902,0.5384949363089214
2,1.044214544002898,0.671219512195122,0.5278098972052294,0.6258309601929853,0.5140598687653908
3,1.1797625154722482,0.7248780487804878,0.6261539138369776,0.6883396660959273,0.5768847022576598
4,0.9604079744312912,0.751219512195122,0.6291121752089703,0.7148456975657014,0.608737760311096
5,1.0903799696825445,0.7141463414634146,0.6702008610098238,0.6748937782468675,0.6232752987418436
6,0.8206527412403375,0.76,0.6977740991716634,0.7305194354106974,0.6829629348038708
7,0.7610801211558282,0.7668292682926829,0.6588936665037659,0.7351833474943625,0.6533551555911474
8,0.7390044883359224,0.7570731707317073,0.6312582780147289,0.7192661155933937,0.6332028178299385
9,0.7020629182225093,0.7346341463414634,0.7023582838352784,0.6994792626678437,0.6677368700740909
10,0.7206938316812739,0.7248780487804878,0.5719366519188737,0.6823179524152848,0.5535789799261654
11,0.850579165155068,0.7804878048780488,0.7099361392251249,0.7506042271569693,0.6895555451060074
12,0.7550238043768331,0.791219512195122,0.6828081838452457,0.7622518602017093,0.6790302448788568
13,0.7128151721553877,0.7804878048780488,0.7188490379377748,0.7505993725647955,0.741190490981796
14,1.0161020801169798,0.7697560975609756,0.7544091960425284,0.73154615652668,0.7426304441907072
15,0.7891646709904307,0.7931707317073171,0.6982973339964318,0.7672046777611368,0.6726719357193165
16,0.7575481797102839,0.7151219512195122,0.6216932945421013,0.6794171454522864,0.6043330147751029
17,0.6938587742333766,0.7873170731707317,0.6656442870894338,0.7540800480724256,0.6666948068070833
18,0.942250547115691,0.7814634146341464,0.7538629725094088,0.7476956347828381,0.7230893877502687
19,0.8097144875791855,0.688780487804878,0.7855546454976654,0.6541206164105342,0.7151723584595058
20,1.1278387919301167,0.7814634146341464,0.7037298504391892,0.7473933435505538,0.6912805448055166
21,0.6107498406199738,0.7931707317073171,0.6961147230098551,0.7625645216980843,0.719349699646713
22,0.7167258665431291,0.8029268292682927,0.7427624874124003,0.7720785489643087,0.7434443832299146
23,0.7976085871923715,0.751219512195122,0.7283602186320961,0.7167863992458472,0.6902066757510426
24,0.8223782449349528,0.7726829268292683,0.7606292650248828,0.74043977159352,0.7640843269655203
25,0.6100091580592562,0.7960975609756098,0.7813741058271629,0.7636646459520434,0.7775741474404387
26,0.8035806422703899,0.7687804878048781,0.7978706500669454,0.7346853631072584,0.7739509881920132
27,0.7204759200540138,0.7629268292682927,0.7789333576075298,0.7262984272942252,0.7721702332571317
28,0.9713100573862903,0.8146341463414634,0.7171188722133255,0.7867137155949236,0.73531446492673
29,0.8314695293083787,0.8185365853658536,0.7470540377998622,0.7920602234602749,0.7355298317607474
30,0.7412968237476889,0.7619512195121951,0.7211134233708172,0.7323269998683575,0.7143896934456485
