dataset,shot,comparison,metric,seed,baseline_value,qnn_value,delta
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,2,0.8966452747599196,0.904297391706631,0.007652116946711418
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,3,0.8883930622275689,0.8980256881581123,0.009632625930543481
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,4,0.8934523070337661,0.8941057700966599,0.0006534630628938221
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,0,0.758815032400727,0.7529813932362575,-0.005833639164469551
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,1,0.738214077854487,0.7608472213058952,0.02263314345140821
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,2,0.8092816653367176,0.8238091347773011,0.014527469440583474
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,3,0.7683257952634692,0.7836883037769792,0.015362508513509954
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,4,0.8074644845449295,0.8030701264371293,-0.0043943581078002
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,0,0.703283115723794,0.6920405667321108,-0.011242548991683199
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,1,0.6859874049524667,0.7010305762136619,0.015043171261195254
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,2,0.7414587218735802,0.7451638708988354,0.0037051490252552055
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,3,0.7120680155866488,0.7256577181223761,0.013589702535727333
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,4,0.7338603685127811,0.7272275257657506,-0.006632842747030576
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,0,0.7932298145982848,0.7905388949622931,-0.002690919635991662
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,1,0.7705086630302019,0.791633991087038,0.02112532805683609
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,2,0.8415702723437987,0.8547042745045902,0.013134002160791525
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,3,0.8013719828097221,0.8133358361270459,0.011963853317323747
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,4,0.8369782035268242,0.830428434977893,-0.00654976854893119
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,0,0.784759223886599,0.7792299185684126,-0.005529305318186406
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,1,0.7661606514526993,0.7917965215642907,0.025635870111591408
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,2,0.8311048557353976,0.8438725243792098,0.01276766864381218
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,3,0.7942093093394993,0.8122046848295968,0.017995375490097554
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,4,0.8298984618477933,0.8264803458329144,-0.003418116014878847
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,0,0.8838975696604072,0.8682868768988311,-0.015610692761576117
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,1,0.8697744977097309,0.881295498071403,0.011521000361672029
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,2,0.8966452747599196,0.9039820197152244,0.007336744955304786
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,3,0.8883930622275689,0.9037635613491118,0.01537049912154298
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,4,0.8934523070337661,0.8951158600197349,0.0016635529859687637
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,0,0.758815032400727,0.7526397574241184,-0.006175274976608636
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,1,0.738214077854487,0.7661679840092523,0.02795390615476534
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,2,0.8092816653367176,0.8234861474761146,0.014204482139396957
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,3,0.7683257952634692,0.7887923183996326,0.020466523136163373
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,4,0.8074644845449295,0.8037452045036134,-0.003719280041316053
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,0,0.703283115723794,0.6916477173003337,-0.011635398423460286
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,1,0.6859874049524667,0.7063450942118759,0.020357689259409173
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,2,0.7414587218735802,0.7444772419553803,0.0030185200818001467
