dataset,shot,model,loss_type,runs,oa_mean,oa_std,aa_mean,aa_std,kappa_mean,kappa_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
indian_pines,5,Spectral QNN Gated Fusion,SupCon,5,0.7205706304868316,0.014201505591106754,0.8254672422973914,0.0059671687063568134,0.686862790302865,0.0157457096447163,0.6403943980512103,0.014400336467368222,0.7290991686728543,0.019674009078827992
indian_pines,10,Spectral QNN Gated Fusion,SupCon,5,0.8107167990348849,0.023235343233850743,0.8904887632108611,0.01383573735887769,0.7869662823625463,0.02541435308041146,0.7226362549509519,0.020789235792529566,0.8179054667532772,0.02334395201153694
pavia_university,5,Spectral QNN Gated Fusion,SupCon,5,0.7811308365188434,0.04117291132290955,0.8279530560855385,0.01702174083593605,0.724327865691315,0.04621981890899206,0.7741296527194332,0.028660750577500088,0.7919795839826274,0.03687788889072824
pavia_university,10,Spectral QNN Gated Fusion,SupCon,5,0.8634942248098414,0.023273845076756915,0.9018780899259596,0.01346560734648155,0.8251005830810758,0.02867170449419317,0.8659014474382245,0.01130710021906835,0.8703268492575861,0.021146500764616036
salinas,5,Spectral QNN Gated Fusion,SupCon,5,0.8558295756091224,0.029559540401749032,0.9294942272176648,0.012114848856561401,0.8398155557187759,0.033011988049299335,0.9224377101094159,0.010989419069257834,0.8564561895270526,0.029263546827944256
salinas,10,Spectral QNN Gated Fusion,SupCon,5,0.9171365384972774,0.03148709622332076,0.9620631932086958,0.01523254191474079,0.9076858484533827,0.035307977855974386,0.9570421598439282,0.014819770185698413,0.9160136019262257,0.034140583904634876
