shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
5,0,1,2.62882137298584,0.0875,2.617881751882619,0.22758620689655173,0.2557291666666667,0.18029477084595213,0.17130781703362347,0.16387332191559112
5,0,2,2.318388748168945,0.4,2.3802797629915435,0.31724137931034485,0.38125,0.2748535057587391,0.26231754621769476,0.23324694755055975
5,0,3,2.0374907493591308,0.5625,2.168216216975245,0.43448275862068964,0.48749999999999993,0.39891815378393414,0.38433636553841155,0.36623192390014864
5,0,4,1.7825440168380737,0.675,1.9759717883734869,0.4896551724137931,0.5375,0.4568738611054869,0.4486766159032783,0.4346316681231576
5,0,5,1.545928168296814,0.8125,1.7964033340585643,0.5655172413793104,0.60625,0.5370933414411675,0.5318355221898854,0.5229449440256208
5,0,6,1.329499101638794,0.9125,1.6333181101700356,0.6206896551724138,0.65625,0.5954035817563796,0.6076516494565694,0.6028049658855308
5,0,7,1.137881302833557,0.975,1.488251201859836,0.7103448275862069,0.7375,0.6904858711120145,0.7123350155279503,0.7086624732746408
5,0,8,0.9613858938217164,0.975,1.3612935304641725,0.7517241379310344,0.7749999999999999,0.7345807698174607,0.7518593623248944,0.7484118634083126
5,0,9,0.8125658154487609,0.9875,1.2475651099764067,0.7655172413793103,0.7875,0.7493262826053796,0.7625218023458871,0.7601773144659595
5,0,10,0.6843554854393006,1.0,1.1487341206649253,0.7793103448275862,0.8,0.7639997965515488,0.7794659703639715,0.7742766263020068
5,0,11,0.5711018979549408,1.0,1.0683419922302508,0.7862068965517242,0.80625,0.7712468193384224,0.791133159169318,0.7815952101178683
5,0,12,0.48059543371200564,1.0,1.0022705978360669,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,13,0.40989075899124144,1.0,0.9466467446294324,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,14,0.34976174831390383,1.0,0.9019208583338507,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,15,0.3013607382774353,1.0,0.867020399817105,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,16,0.2614019125699997,1.0,0.8387517692713902,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,17,0.22991000413894652,1.0,0.8171525708560285,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,18,0.2030472755432129,1.0,0.7997852448759408,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,19,0.18065752685070038,1.0,0.7856140029841456,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,20,0.16183473467826842,1.0,0.7738729748232611,0.8206896551724138,0.8375,0.8081424936386769,0.8207539614462652,0.8142802333200168
5,0,21,0.14643049538135527,1.0,0.76377297084907,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,22,0.13288462460041045,1.0,0.755904621707982,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,23,0.12110963612794876,1.0,0.749569237848808,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,24,0.11103036850690842,1.0,0.7444785576442192,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,25,0.10215241760015488,1.0,0.740580055425907,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,26,0.09458158165216446,1.0,0.7372328922666352,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,27,0.08753319978713989,1.0,0.7340084721302164,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,28,0.08166400790214538,1.0,0.7312889636590563,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,29,0.07618559300899505,1.0,0.7282544883160755,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,30,0.0715831883251667,1.0,0.7263598458520297,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
