run_id,model,seed,best_val_macro_f1,best_val_oa,best_val_aa,epochs_ran,training_time_seconds,parameters,trainable_parameters
embedding_linear_seed0,embedding_linear,0,0.9790263631686676,0.9892682926829268,0.9920796511817054,9,0.5051798820495605,2320,2320
embedding_mlp_seed0,embedding_mlp,0,0.9931709165723979,0.9892682926829268,0.9932394239350155,12,0.7801849842071533,9552,9552
spectral_mlp_fusion_seed0,spectral_mlp_fusion,0,0.9790263631686676,0.9892682926829268,0.9920796511817054,10,0.7810659408569336,2772,2772
spectral_qnn_fusion_seed0,spectral_qnn_fusion,0,0.9790263631686676,0.9892682926829268,0.9920796511817054,12,40.381783962249756,2596,2596
spectral_gated_qnn_fusion_seed0,spectral_gated_qnn_fusion,0,0.9776644442393048,0.9873170731707317,0.9906823092366053,8,27.250253677368164,3071,3071
embedding_linear_seed1,embedding_linear,1,0.9775405478626402,0.9873170731707317,0.99006005013977,8,0.42984485626220703,2320,2320
embedding_mlp_seed1,embedding_mlp,1,0.9950778442703239,0.9921951219512195,0.995168762533532,9,0.58347487449646,9552,9552
spectral_mlp_fusion_seed1,spectral_mlp_fusion,1,0.9794813352027243,0.9882926829268293,0.9908130621879627,11,0.8684160709381104,2772,2772
spectral_qnn_fusion_seed1,spectral_qnn_fusion,1,0.9793025385552839,0.9882926829268293,0.991020329147807,9,30.630702018737793,2596,2596
spectral_gated_qnn_fusion_seed1,spectral_gated_qnn_fusion,1,0.9775405478626402,0.9873170731707317,0.99006005013977,11,37.60139489173889,3071,3071
embedding_linear_seed2,embedding_linear,2,0.9788338761397091,0.9882926829268293,0.991020329147807,8,0.4347689151763916,2320,2320
embedding_mlp_seed2,embedding_mlp,2,0.994098477997178,0.9912195121951219,0.9931232596103052,11,0.7248260974884033,9552,9552
spectral_mlp_fusion_seed2,spectral_mlp_fusion,2,0.9796912460549607,0.9892682926829268,0.9920796511817054,8,0.6478660106658936,2772,2772
spectral_qnn_fusion_seed2,spectral_qnn_fusion,2,0.9792383805646346,0.9882926829268293,0.9914353212847982,10,34.509052753448486,2596,2596
spectral_gated_qnn_fusion_seed2,spectral_gated_qnn_fusion,2,0.9792383805646346,0.9882926829268293,0.9914353212847982,10,35.49235701560974,3071,3071
