dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_metric_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
pavia_university,spectral_qnn_multiproto,10,3,1,2.547485891977946,2.5453221480051678,0.0108187526360982,0.011111111111111112,2.241305028067695,0.08888888888888889,0.08888888888888889,-0.02499999999999991,0.09571096286072131,0.09571096286072132
pavia_university,spectral_qnn_multiproto,10,3,2,2.1070107830895317,2.105052884419759,0.009789435979392793,0.17777777777777778,1.8820723374684651,0.34444444444444444,0.3444444444444445,0.26249999999999996,0.2961932690964949,0.2961932690964949
pavia_university,spectral_qnn_multiproto,10,3,3,1.7300095187293159,1.7281859954198202,0.009117617758197917,0.4444444444444444,1.5718934774398803,0.5222222222222223,0.5222222222222224,0.4625,0.47529982363315704,0.47529982363315704
pavia_university,spectral_qnn_multiproto,10,3,4,1.399144132932027,1.3975196599960327,0.008122455512380434,0.6888888888888889,1.3013587633768717,0.7333333333333333,0.7333333333333333,0.7000000000000001,0.6995779046503684,0.6995779046503684
pavia_university,spectral_qnn_multiproto,10,3,5,1.1140295770433215,1.1126097626156277,0.0070991120611627895,0.9111111111111111,1.0683392736646864,0.8444444444444444,0.8444444444444446,0.825,0.8468602566641782,0.8468602566641782
pavia_university,spectral_qnn_multiproto,10,3,6,0.8603486869070265,0.8592344310548571,0.00557125596743491,0.9888888888888889,0.87347502178616,0.9222222222222223,0.9222222222222223,0.9125,0.9230771521793195,0.9230771521793193
pavia_university,spectral_qnn_multiproto,10,3,7,0.6626157164573669,0.6616744505034553,0.004706407752301958,0.9888888888888889,0.7202970928615994,0.9333333333333333,0.9333333333333333,0.925,0.9327731092436975,0.9327731092436974
pavia_university,spectral_qnn_multiproto,10,3,8,0.5119898544417487,0.5111441956626044,0.004228367646121316,1.0,0.6025755087534587,0.9444444444444444,0.9444444444444444,0.9375,0.9447971781305115,0.9447971781305113
pavia_university,spectral_qnn_multiproto,10,3,9,0.39731589025921293,0.39652651018566554,0.003946901024836633,1.0,0.515669916735755,0.9444444444444444,0.9444444444444444,0.9375,0.9447971781305115,0.9447971781305113
pavia_university,spectral_qnn_multiproto,10,3,10,0.3138679630226559,0.31313746439086065,0.003652496330647005,1.0,0.45222060283025106,0.9444444444444444,0.9444444444444444,0.9375,0.9447971781305115,0.9447971781305113
pavia_university,spectral_qnn_multiproto,10,3,11,0.25052620636092293,0.24983746442529892,0.003443700323502223,1.0,0.40510414441426595,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,12,0.20522615710894268,0.20457215507825216,0.0032700020380111204,1.0,0.36888716088400947,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,13,0.17091976967122818,0.17032112876574199,0.002993207321398788,1.0,0.34172597395049203,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,14,0.14518510036998325,0.14462731778621674,0.002788919241478046,1.0,0.32059558365080093,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,15,0.12550505697727204,0.12497131095992195,0.002668732228792376,1.0,0.30382484065161813,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,16,0.10986390329069562,0.10935757772790061,0.0025316240110745034,1.0,0.29082059661547344,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,17,0.09720911218060388,0.09672589947779973,0.0024160580709576608,1.0,0.27971721953815887,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
pavia_university,spectral_qnn_multiproto,10,3,18,0.08664911819828881,0.08618560036023458,0.002317584730270836,1.0,0.27013258404201934,0.9333333333333333,0.9333333333333333,0.925,0.9337510442773601,0.93375104427736
