dataset_id,model,qubits,layers,learning_rate,entanglement,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,subset_train,subset_validation,subset_test,device
indian_pines,q6_l1_lr0.03_entlinear,6,1,0.03,linear,0.21793103448275863,0.1975,0.16000000000000003,0.08985624379966105,0.09915171729617771,7.915185213088989,199,198,725,cpu
indian_pines,q4_l2_lr0.03_entring,4,2,0.03,ring,0.20275862068965517,0.18375,0.14370370370370367,0.08215275750276754,0.0906513186237435,8.747797966003418,199,198,725,cpu
indian_pines,q6_l2_lr0.03_entlinear,6,2,0.03,linear,0.2096551724137931,0.19,0.15111111111111108,0.07997517242800262,0.08824846612745117,12.186940908432007,199,198,725,cpu
indian_pines,q4_l2_lr0.003_entlinear,4,2,0.003,linear,0.17655172413793102,0.16,0.11555555555555541,0.06844872553033404,0.07552962817140309,8.695219993591309,199,198,725,cpu
indian_pines,q6_l2_lr0.003_entring,6,2,0.003,ring,0.15724137931034482,0.14250000000000002,0.0948148148148148,0.062191183826120565,0.06862475456675372,12.380620002746582,199,198,725,cpu
indian_pines,q4_l1_lr0.03_entring,4,1,0.03,ring,0.16413793103448276,0.14875,0.1022222222222221,0.05828527062999113,0.06431478138481779,6.015929698944092,199,198,725,cpu
indian_pines,q6_l1_lr0.01_entlinear,6,1,0.01,linear,0.15586206896551724,0.14125,0.09333333333333338,0.05231387062718941,0.05772565034724349,7.78918194770813,199,198,725,cpu
indian_pines,q6_l1_lr0.003_entring,6,1,0.003,ring,0.13517241379310344,0.1225,0.07111111111111112,0.03792937484841136,0.04185310328100563,7.914422988891602,199,198,725,cpu
indian_pines,q6_l2_lr0.003_entlinear,6,2,0.003,linear,0.12413793103448276,0.11249999999999999,0.059259259259259234,0.037253790974524616,0.04110763142016509,12.206974029541016,199,198,725,cpu
indian_pines,q4_l2_lr0.01_entlinear,4,2,0.01,linear,0.1393103448275862,0.12625,0.0755555555555556,0.03503584110927704,0.03866023846540914,8.461472988128662,199,198,725,cpu
indian_pines,q4_l1_lr0.003_entring,4,1,0.003,ring,0.09655172413793103,0.0875,0.029629629629629672,0.03415046037661192,0.03768326662246833,6.1348841190338135,199,198,725,cpu
indian_pines,q4_l2_lr0.01_entring,4,2,0.01,ring,0.13793103448275862,0.125,0.07407407407407407,0.032741581798523114,0.03612864198457723,8.732415914535522,199,198,725,cpu
indian_pines,q6_l2_lr0.01_entring,6,2,0.01,ring,0.13655172413793104,0.12375,0.07259259259259254,0.03271187047782792,0.03609585707898254,12.321419954299927,199,198,725,cpu
indian_pines,q4_l1_lr0.03_entlinear,4,1,0.03,linear,0.13655172413793104,0.12375,0.07259259259259254,0.030907957925015845,0.034105332882776104,5.823143005371094,199,198,725,cpu
indian_pines,q6_l1_lr0.01_entring,6,1,0.01,ring,0.13655172413793104,0.12375,0.07259259259259254,0.030350162090007626,0.03348983403035325,8.114751100540161,199,198,725,cpu
indian_pines,q4_l1_lr0.01_entring,4,1,0.01,ring,0.1296551724137931,0.1175,0.06518518518518523,0.028600601509111617,0.0315592844238473,5.986646890640259,199,198,725,cpu
indian_pines,q6_l2_lr0.01_entlinear,6,2,0.01,linear,0.12689655172413794,0.11499999999999999,0.06222222222222218,0.02796082002928676,0.03085331865300608,12.017337799072266,199,198,725,cpu
indian_pines,q4_l1_lr0.01_entlinear,4,1,0.01,linear,0.10758620689655173,0.0975,0.04148148148148145,0.025380954149336506,0.02800657009581959,5.738097190856934,199,198,725,cpu
indian_pines,q6_l1_lr0.003_entlinear,6,1,0.003,linear,0.10344827586206896,0.09375,0.03703703703703709,0.02305439479981428,0.02543933219289851,7.856689929962158,199,198,725,cpu
indian_pines,q4_l2_lr0.003_entring,4,2,0.003,ring,0.06896551724137931,0.0625,0.005858704462488373,0.009300595238095238,0.010262725779967159,8.824445962905884,199,198,725,cpu
indian_pines,q4_l1_lr0.003_entlinear,4,1,0.003,linear,0.06896551724137931,0.0625,0.0,0.008064516129032258,0.008898776418242492,6.279492139816284,199,198,725,cpu
indian_pines,q4_l2_lr0.03_entlinear,4,2,0.03,linear,0.06896551724137931,0.0625,0.0,0.008064516129032258,0.008898776418242492,8.514297008514404,199,198,725,cpu
indian_pines,q6_l1_lr0.03_entring,6,1,0.03,ring,0.06896551724137931,0.0625,0.0,0.008064516129032258,0.008898776418242492,8.02936601638794,199,198,725,cpu
indian_pines,q6_l2_lr0.03_entring,6,2,0.03,ring,0.06896551724137931,0.0625,0.0,0.008064516129032258,0.008898776418242492,12.36473822593689,199,198,725,cpu
