class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,0.9974987493746873,0.997997997997998,0.9977483112334251,1998
1,Brocoli_green_weeds_2,1.0,0.9644683714670256,0.9819128528363935,3715
2,Fallow,0.6062706270627063,0.9348600508905852,0.7355355355355355,1965
3,Fallow_rough_plow,0.667621776504298,0.8423716558206796,0.7448849104859335,1383
4,Fallow_smooth,0.9067180145485665,0.7945256842894638,0.8469224620303757,2667
5,Stubble,1.0,0.9278115501519757,0.9625541978715018,3948
6,Celery,0.9408009286128846,0.9086322869955157,0.9244368406045053,3568
7,Grapes_untrained,0.8389566203572442,0.5255772646536412,0.6462815332532489,11260
8,Soil_vinyard_develop,0.9189068100358423,0.9937015503875969,0.9548417132216015,6192
9,Corn_senesced_green_weeds,0.5675675675675675,0.3149678604224059,0.40511811023622046,3267
10,Lettuce_romaine_4wk,0.33277310924369746,0.9366130558183539,0.49107142857142855,1057
11,Lettuce_romaine_5wk,0.8231155778894472,0.42745302713987476,0.5626932325661285,1916
12,Lettuce_romaine_6wk,0.5821205821205822,0.9281767955801105,0.7155025553662692,905
13,Lettuce_romaine_7wk,0.6631087391594396,0.9386213408876298,0.7771696637998436,1059
14,Vinyard_untrained,0.6039933444259568,0.9003720545680033,0.72298755186722,7257
15,Vinyard_vertical_trellis,0.8751458576429405,0.41759465478841873,0.5653976630229929,1796
