dataset,model,shot,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,qnn_trainable_parameters
indian_pines,hybridsn_small_residual_qnn_head,1,5,0.3790204243505849,0.047623691400778406,0.5847441876814687,0.016763738634742786,0.3273254045845594,0.047098485328189985,0.3632605244036714,0.022051994747676402,0.37892372753195713,0.05707233872937139,45.2,816
indian_pines,hybridsn_small_residual_qnn_head,5,5,0.6785115722266559,0.030122447390264963,0.8078998092372436,0.017758534117122873,0.6413516394573205,0.03258012428821485,0.6159695951856907,0.025444324672461043,0.6873790299146341,0.03288359052482631,28.6,816
indian_pines,hybridsn_small_residual_qnn_head,10,5,0.7972252940585102,0.018091439636798216,0.8817581521530945,0.008491842594266533,0.771810398177753,0.019778189421766224,0.7071171287985477,0.014590376780877304,0.8058459737350706,0.019875244746327004,17.0,816
