dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,qnn_trainable_parameters,encoder_feature_dim,train_size,validation_size,test_size
indian_pines,hybridsn_small_residual_qnn_head,1,0,0.4522109855244894,0.567710802969774,0.3984459447409884,0.3769946804974597,0.47972202229950067,57,14.076929092407227,13.523150205612183,816,32,16,147,10086
indian_pines,hybridsn_small_residual_qnn_head,1,1,0.3972833630775332,0.5830019711315658,0.3368876382053374,0.32297001631191796,0.37667996168063883,36,10.088709115982056,12.71497392654419,816,32,16,147,10086
indian_pines,hybridsn_small_residual_qnn_head,1,2,0.33601031132262543,0.5728135522874584,0.2804883803556477,0.35749866699994926,0.3472093589555564,43,12.50613784790039,13.527857303619385,816,32,16,147,10086
indian_pines,hybridsn_small_residual_qnn_head,1,3,0.39103708110251834,0.615879679185487,0.3502478233670254,0.3737597728496677,0.38345969981507183,60,13.794425010681152,13.417542934417725,816,32,16,147,10086
indian_pines,hybridsn_small_residual_qnn_head,1,4,0.3185603807257585,0.5843149328330584,0.270557236253798,0.38507948535936226,0.3075475949090179,30,9.580409049987793,14.078013896942139,816,32,16,147,10086
indian_pines,hybridsn_small_residual_qnn_head,5,0,0.6985235434956105,0.816793282974344,0.6648316819843176,0.6309381229186816,0.7153797878554257,21,10.101425886154175,12.644224882125854,816,32,80,145,10024
indian_pines,hybridsn_small_residual_qnn_head,5,1,0.6932362330407024,0.8138828248770082,0.6567901329417972,0.620791334188286,0.7015410144339698,24,11.74738597869873,12.711254835128784,816,32,80,145,10024
indian_pines,hybridsn_small_residual_qnn_head,5,2,0.6463487629688747,0.7767185754659929,0.6040512612679949,0.5707933518735431,0.6426803502825954,22,10.783353090286255,12.794795036315918,816,32,80,145,10024
indian_pines,hybridsn_small_residual_qnn_head,5,3,0.6392657621707901,0.8026965527651,0.6010138647379958,0.6109616592394244,0.6538557572988161,30,14.536105871200562,14.158957958221436,816,32,80,145,10024
indian_pines,hybridsn_small_residual_qnn_head,5,4,0.7151835594573025,0.8294078101037731,0.6800712563544968,0.6463635077085186,0.723438239702363,46,19.12338089942932,12.835783958435059,816,32,80,145,10024
indian_pines,hybridsn_small_residual_qnn_head,10,0,0.7775208605609731,0.8763566722640633,0.7506652600527632,0.6963876572132393,0.7854691406922102,16,12.574074745178223,13.381533861160278,816,32,160,142,9947
indian_pines,hybridsn_small_residual_qnn_head,10,1,0.7793304513923797,0.8712247076386721,0.7519695965541944,0.7002059601069966,0.7849287205154305,13,11.251172065734863,13.514185905456543,816,32,160,142,9947
indian_pines,hybridsn_small_residual_qnn_head,10,2,0.8271840756006836,0.8943530129106093,0.8046993252541617,0.7337417292869983,0.8387297593200351,15,12.647419929504395,13.937103033065796,816,32,160,142,9947
indian_pines,hybridsn_small_residual_qnn_head,10,3,0.8002412787775208,0.8887300225636828,0.7752900120449405,0.7113511024556789,0.8083673740360295,29,19.31512999534607,13.492015838623047,816,32,160,142,9947
indian_pines,hybridsn_small_residual_qnn_head,10,4,0.8018498039609933,0.8781263453884456,0.7764277969827053,0.6938991949298254,0.8117348741116475,12,10.879898071289062,13.354831218719482,816,32,160,142,9947
