shot,HybridSN-small OA,QNN OA,Delta OA,HybridSN-small Macro-F1,QNN Macro-F1,Delta Macro-F1,runs
1,41.491175887368634,37.90204243505849,-3.589133452310139,37.74882776745056,36.32605244036714,-1.4227753270834198,5
5,72.01915403032721,67.85115722266559,-4.1679968076616225,63.80526208226654,61.59695951856907,-2.208302563697462,5
10,80.12265004523978,79.72252940585102,-0.40012063938875686,71.53315253298541,70.71171287985477,-0.82143965313064,5
