model,is_qnn_branch,task_count,trainable_parameters_mean,estimated_deployment_parameters_mean,train_time_mean_s,test_time_mean_s,OA_mean,Macro_F1_mean,Weighted_F1_mean
ConfidenceGuard-C + SupCon,True,2,1844.5,101332.5,18.75128915309906,76.21640825271606,0.8918231560338188,0.9102742622452684,0.8956457125384217
HybridSN-small,False,4,99374.25,99374.25,209.93071527481078,93.41911195516586,0.8200133315338254,0.7749444868118142,0.8263994232568908
Spectral QNN + SupCon,True,2,2176.0,101664.0,28.742389583587645,18.27771496772766,0.7656437147608582,0.6815153265010812,0.7735023177130658
