dataset,shot,model,runs,trainable_parameters_mean,trainable_parameters_std,train_time_mean_s,train_time_std_s,test_time_mean_s,test_time_std_s,OA_mean,Macro-F1_mean,Weighted-F1_mean,is_qnn_branch,deployment_requires_encoder,frozen_encoder_parameters,estimated_deployment_parameters,qubits,quantum_layers,trainable_quantum_parameters,notes
indian_pines,5,HybridSN-small,5,99488.0,0.0,220.19774694442748,26.342551221685223,32.96932244300842,0.5123453464045227,0.7201915403032721,0.6380526208226653,0.7326681037448641,False,True,0,99488.0,,,,full HybridSN-small training and full patch inference
indian_pines,10,HybridSN-small,5,99488.0,0.0,272.31709837913513,14.687371889235742,30.991037321090698,2.013179908291044,0.8012265004523977,0.7153315253298541,0.8087317872617664,False,True,0,99488.0,,,,full HybridSN-small training and full patch inference
pavia_university,10,HybridSN-small,5,99033.0,0.0,142.98263359069824,47.407786600570645,149.49959259033204,15.147110305789724,0.8226171471499673,0.7919759979075065,0.8280320844234927,False,True,0,99033.0,,,,full HybridSN-small training and full patch inference
salinas,10,HybridSN-small,5,99488.0,0.0,204.2253821849823,45.896423174034574,160.2164954662323,22.022083541317443,0.9360181382296642,0.9544178031872306,0.9361657175974398,False,True,0,99488.0,,,,full HybridSN-small training and full patch inference
indian_pines,5,Spectral QNN + SupCon,5,2176.0,0.0,26.891566371917726,12.323733405352975,18.90288472175598,1.4889625671038185,0.7205706304868316,0.6403943980512103,0.7290991686728543,True,True,99488,101664.0,6.0,1.0,18.0,trained on cached frozen HybridSN-small features; encoder cost not included in train_time
indian_pines,10,Spectral QNN + SupCon,5,2176.0,0.0,30.593212795257568,11.07763606081437,17.65254521369934,0.425281278779576,0.8107167990348849,0.7226362549509519,0.8179054667532772,True,True,99488,101664.0,6.0,1.0,18.0,trained on cached frozen HybridSN-small features; encoder cost not included in train_time
pavia_university,10,ConfidenceGuard-C + SupCon,5,1477.0,0.0,12.064109563827515,1.3927854899359924,67.52728238105774,0.5472109047253708,0.8576673866090712,0.8593096930076998,0.8648948602444358,True,True,99488,100965.0,6.0,1.0,18.0,trained on cached frozen HybridSN-small features; encoder cost not included in train_time
salinas,10,ConfidenceGuard-C + SupCon,5,2212.0,0.0,25.438468742370606,4.2668640041279495,84.90553412437438,0.2591821612658486,0.9259789254585664,0.9612388314828371,0.9263965648324076,True,True,99488,101700.0,6.0,1.0,18.0,trained on cached frozen HybridSN-small features; encoder cost not included in train_time
