class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.42857142857142855,1.0,0.6,33
1,Corn-notill,0.7689969604863222,0.716206652512385,0.7416636130450714,1413
2,Corn-mintill,0.43707093821510296,0.2343558282208589,0.305111821086262,815
3,Corn,0.3782696177062374,0.8468468468468469,0.5229485396383866,222
4,Grass-pasture,0.782608695652174,0.6538461538461539,0.7124563445867288,468
5,Grass-trees,0.7275711159737418,0.9300699300699301,0.8164518109269491,715
6,Grass-pasture-mowed,0.25,1.0,0.4,19
7,Hay-windrowed,0.8938223938223938,1.0,0.9439347604485219,463
8,Oats,0.1411764705882353,1.0,0.24742268041237114,12
9,Soybean-notill,0.7170731707317073,0.768025078369906,0.7416750756811302,957
10,Soybean-mintill,0.9138034960819771,0.6213114754098361,0.7396926079531593,2440
11,Soybean-clean,0.6155507559395248,0.4930795847750865,0.547550432276657,578
12,Wheat,0.36893203883495146,1.0,0.5390070921985816,190
13,Woods,0.9241034195162635,0.8864,0.9048591261739486,1250
14,Buildings-Grass-Trees-Drives,0.5349854227405247,0.9892183288409704,0.6944181646168401,371
15,Stone-Steel-Towers,0.46987951807228917,1.0,0.639344262295082,78
