dataset,shot,model,runs,baseline_oa,residualsafe_b_oa,delta_vs_hybridsn_oa,original_supcon_oa,delta_vs_original_supcon_oa,residualsafe_a_oa,delta_vs_residualsafe_a_oa,baseline_macro_f1,residualsafe_b_macro_f1,delta_vs_hybridsn_macro_f1,original_supcon_macro_f1,delta_vs_original_supcon_macro_f1,residualsafe_a_macro_f1,delta_vs_residualsafe_a_macro_f1,baseline_weighted_f1,residualsafe_b_weighted_f1,delta_vs_hybridsn_weighted_f1,original_supcon_weighted_f1,delta_vs_original_supcon_weighted_f1,residualsafe_a_weighted_f1,delta_vs_residualsafe_a_weighted_f1
pavia_university,10,Spectral QNN ResidualSafe-B + SupCon,5,0.8226171471499673,0.8442858484364729,0.021668701286505665,0.8634942248098414,-0.019208376373368474,0.8447037280495822,-0.00041787961310923993,0.7919759979075065,0.8290154743783047,0.037039476470798194,0.8659014474382245,-0.03688597305991981,0.8339376918379731,-0.0049222174596683654,0.8280320844234927,0.8522203410599527,0.02418825663645996,0.8703268492575861,-0.018106508197633375,0.8533662169592571,-0.0011458758993043716
salinas,10,Spectral QNN ResidualSafe-B + SupCon,5,0.9360181382296642,0.9141779256258248,-0.021840212603839393,0.9171365384972774,-0.002958612871452604,0.923195004553142,-0.00901707892731718,0.9544178031872306,0.9512624742273436,-0.003155328959887016,0.9570421598439282,-0.0057796856165845956,0.9560091525329896,-0.004746678305646013,0.9361657175974398,0.912631507966752,-0.023534209630687863,0.9160136019262256,-0.003382093959473642,0.923238015105324,-0.01060650713857203
