dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,0,0.8796131092121326,0.8780921204878078,0.8437673538378994,0.8312219149688764,0.8838292621481251
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,1,0.8326368673114847,0.8465673016840323,0.7853916664185481,0.8161181795104906,0.8392137891998668
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,2,0.8383885810874261,0.8918203330548534,0.7952446411536921,0.8423978999593369,0.8539698377465723
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,3,0.8436238144426706,0.8773378505844239,0.7981567783868204,0.8544494283772975,0.845619924313473
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,4,0.8292562681941966,0.8656992472307607,0.7831648575021003,0.825501036373864,0.8441982713882488
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,0,0.8519206824137227,0.9399757163330978,0.8362989091931192,0.927721729380673,0.8509512519694038
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,1,0.9503800479473694,0.9761923188615118,0.944753082859432,0.9719301718604172,0.950462000090019
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,2,0.9376126670259622,0.967944995981813,0.9304948479058842,0.9635010720115085,0.9372117925068437
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,3,0.9451392889665298,0.9709637366369078,0.9389930916051866,0.9643016813389007,0.945745943901666
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,4,0.9309223364121244,0.9622960056405162,0.9233787063172537,0.9525911080734486,0.9318190870586872
