0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,1116,0,0,0,10,0,0,0,3,11,2,0,0,0,0
0,0,659,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,185,0,0,0,0,0,0,0,4,0,0,0,0
0,0,4,0,380,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,577,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0
0,0,1,0,0,6,0,0,9,0,0,0,0,0,0,0
0,4,0,0,0,2,0,0,0,759,4,2,0,2,5,0
0,5,0,0,0,2,0,0,0,5,1953,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,467,0,0,4,1
0,0,1,0,1,0,0,0,0,0,0,0,162,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74
