run_id,model,seed,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1,validation_Weighted-F1
linear_probe_seed0,linear_probe,0,1,0.4926874626544304,0.908203125,0.08892839101756492,0.9814634146341463,0.8202401455212961,0.9788579722542775,0.8247712980460014,0.9783069723759682
linear_probe_seed0,linear_probe,0,2,0.033994439072557725,0.99609375,0.057582524208033954,0.9863414634146341,0.9291780825842331,0.98442611030438,0.9275767646871098,0.9854297960384684
linear_probe_seed0,linear_probe,0,3,0.015721182709967252,1.0,0.04537462049141163,0.9882926829268293,0.9914353212847982,0.9866542250770366,0.9785729854821784,0.9883870262349499
linear_probe_seed0,linear_probe,0,4,0.009604386828868883,1.0,0.04011711932537032,0.9892682926829268,0.9920796511817054,0.9877683371881604,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,5,0.006647602782322792,1.0,0.036732522161086884,0.9892682926829268,0.9920796511817054,0.9877683371881604,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,6,0.005002302186767338,1.0,0.034705306331558924,0.9892682926829268,0.9920796511817054,0.9877683371881604,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,7,0.003892779044690542,1.0,0.0336342148419197,0.9892682926829268,0.9920796511817054,0.9877706191157968,0.9787450086078864,0.9893849489372272
linear_probe_seed0,linear_probe,0,8,0.0031373849687952315,1.0,0.03207449499971983,0.9892682926829268,0.9920796511817054,0.9877706191157968,0.9787450086078864,0.9893849489372272
linear_probe_seed0,linear_probe,0,9,0.002549431960687798,1.0,0.0312307148776585,0.9892682926829268,0.9920796511817054,0.9877706191157968,0.9787450086078864,0.9893849489372272
mlp_probe_seed0,mlp_probe,0,1,0.37988524156753556,0.916015625,0.06294058486501254,0.9814634146341463,0.835817310440324,0.9788673782853224,0.8414817208278091,0.9789054660975276
mlp_probe_seed0,mlp_probe,0,2,0.013773378857877105,0.9970703125,0.03536615637221896,0.9873170731707317,0.9903759992508998,0.9855438025494982,0.9775312381513751,0.987423679189464
mlp_probe_seed0,mlp_probe,0,3,0.005055535257270094,0.9990234375,0.04235065160955234,0.984390243902439,0.9887589586713079,0.9821965350549139,0.9773589691484641,0.9844578637820237
mlp_probe_seed0,mlp_probe,0,4,0.0030706984639436996,1.0,0.03236790329697769,0.9882926829268293,0.9911290112990925,0.9866549635398414,0.9791855362342446,0.9883922901371689
mlp_probe_seed0,mlp_probe,0,5,0.0020664577043589816,1.0,0.02818327061346414,0.9873170731707317,0.9903759992508998,0.9855438025494982,0.9775312381513751,0.987423679189464
mlp_probe_seed0,mlp_probe,0,6,0.0013338462449610233,1.0,0.030414785804985113,0.9892682926829268,0.9923859611674108,0.9877711231477726,0.9787787055619299,0.9893615360812097
mlp_probe_seed0,mlp_probe,0,7,0.001078124685363946,1.0,0.028797490055439995,0.9882926829268293,0.9914353212847982,0.9866563678416296,0.978385337527642,0.9883945827435706
mlp_probe_seed0,mlp_probe,0,8,0.0008873410538967619,1.0,0.030516726438832048,0.9882926829268293,0.9919843925699386,0.9866560493661081,0.9906486887819688,0.9883078726198657
mlp_probe_seed0,mlp_probe,0,9,0.0008598525114962285,1.0,0.03273622943671908,0.9882926829268293,0.9914353212847982,0.9866563678416296,0.978385337527642,0.9883945827435706
mlp_probe_seed0,mlp_probe,0,10,0.0005933007535929846,1.0,0.031826851928444075,0.9873170731707317,0.9903759992508998,0.9855438025494982,0.9775312381513751,0.987423679189464
mlp_probe_seed0,mlp_probe,0,11,0.00041784205279782327,1.0,0.031132875054254106,0.9873170731707317,0.9903759992508998,0.9855438025494982,0.9775312381513751,0.987423679189464
mlp_probe_seed0,mlp_probe,0,12,0.0003073123698698055,1.0,0.03198013123115787,0.9873170731707317,0.9903759992508998,0.9855438025494982,0.9775312381513751,0.987423679189464
residual_qnn_seed0,residual_qnn,0,1,0.7096141910878941,0.884765625,0.23419858621387946,0.9648780487804878,0.7865074150866646,0.9598975376653411,0.786025024696906,0.9605414384152623
residual_qnn_seed0,residual_qnn,0,2,0.11502912302967161,0.9931640625,0.15293479279773992,0.9697560975609756,0.8607740001676366,0.9654699134547257,0.8809359343430467,0.9682807393554533
residual_qnn_seed0,residual_qnn,0,3,0.0653468351229094,0.998046875,0.1187310957617876,0.975609756097561,0.9073897801693975,0.9721490701321738,0.9137958336415772,0.9745710469650412
residual_qnn_seed0,residual_qnn,0,4,0.04450243427709211,0.998046875,0.10311352881716519,0.975609756097561,0.9071825132095532,0.972151249417214,0.9135506722318765,0.9745307077018988
residual_qnn_seed0,residual_qnn,0,5,0.03251883023767732,1.0,0.09097569332798806,0.9775609756097561,0.9527775006762917,0.9743927580656023,0.9635771527268205,0.9773222363467332
residual_qnn_seed0,residual_qnn,0,6,0.025008685210195836,1.0,0.08626310527415537,0.9775609756097561,0.9835904377392288,0.9743797063365534,0.9850703691627538,0.9774869866139051
residual_qnn_seed0,residual_qnn,0,7,0.019662424758280395,1.0,0.07855042195765347,0.9775609756097561,0.9825181503831142,0.9743858303391284,0.971971241889628,0.9775000632969928
residual_qnn_seed0,residual_qnn,0,8,0.016564856083277846,1.0,0.07787700151252311,0.9765853658536585,0.9831533748021659,0.9732685984269766,0.9724646064529237,0.9765755288000394
residual_qnn_seed0,residual_qnn,0,9,0.013751703614616417,1.0,0.07190892598341878,0.9775609756097561,0.9833831707793845,0.9743839656120358,0.9726933577265757,0.9775318403871137
residual_qnn_seed0,residual_qnn,0,10,0.011942229346459499,1.0,0.07070758326456132,0.9785365853658536,0.9833697472398657,0.9755015128223234,0.9726890418766032,0.9785385644589177
residual_qnn_seed0,residual_qnn,0,11,0.010609482029394712,1.0,0.06726668007490112,0.9795121951219512,0.9857445761466161,0.9766133018975549,0.9746196907114018,0.9795139014147105
gated_residual_qnn_seed0,gated_residual_qnn,0,1,0.7011242685839534,0.908203125,0.24028728790399506,0.9648780487804878,0.7868137250723701,0.9598884267784428,0.7850510082158594,0.9605945182664613
gated_residual_qnn_seed0,gated_residual_qnn,0,2,0.11945335392374545,0.9921875,0.1489005865701815,0.9726829268292683,0.8140989139065323,0.968813398720154,0.8200103691699347,0.9694758085679791
gated_residual_qnn_seed0,gated_residual_qnn,0,3,0.0676800585933961,0.9951171875,0.11689203590154648,0.9746341463414634,0.8454953804631882,0.971058435895793,0.8492458063750015,0.9722082171442707
gated_residual_qnn_seed0,gated_residual_qnn,0,4,0.04564001379185356,0.9951171875,0.09996061983268435,0.9746341463414634,0.8460066673429584,0.9710408242878923,0.8501656508802657,0.9721720688324125
