model,runs,best_val_oa_mean,best_val_oa_std,best_val_aa_mean,best_val_aa_std,best_val_macro_f1_mean,best_val_macro_f1_std
gated_residual_qnn,5,0.9853658536585366,0.003753245670570022,0.983848637126896,0.008062274705868781,0.986320161437849,0.005249896655755347
mlp_probe,5,0.9886829268292683,0.0014601589802044662,0.9860827275269255,0.008077671235880674,0.9858865276196618,0.005199324086972802
residual_qnn,5,0.9861463414634146,0.0046747896783262246,0.9816943626157573,0.0058045499621850755,0.9856621788234723,0.003501774485935716
linear_probe,5,0.9873170731707317,0.0013797205486566794,0.9845765438940891,0.007958421687387713,0.9793055208988685,0.0011471807550321332
