dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
pavia_university,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,0,0.9063996619400883,0.9058418014189971,0.8780681883895,0.8635689255429102,0.9093113611990895
pavia_university,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,1,0.8690017842050897,0.9041923108975942,0.8316998886012723,0.8679203038588957,0.8745825398669418
pavia_university,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,2,0.8719832848154756,0.9366647184694601,0.8374715218115635,0.8890396604449412,0.8838288550416323
pavia_university,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,3,0.8550333364635176,0.9019799101580672,0.8129131252308479,0.8790458410193138,0.8568293688924868
pavia_university,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,4,0.8475208939806554,0.9005177808297743,0.8060464763536221,0.8597568278570005,0.8606980194281568
salinas,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,0,0.8635358397294133,0.9384370133096397,0.8478273666955083,0.9332980474208848,0.8610398670618957
salinas,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,1,0.9468118716199893,0.9764953736719932,0.9409016833109084,0.972857615420051,0.9473550278023175
salinas,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,2,0.9018379824936349,0.9567008841776419,0.8907593546760766,0.9513772180577089,0.901889410181268
salinas,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,3,0.916872642123065,0.9640381315054132,0.9075001644031581,0.9599359818980423,0.9172878651520191
salinas,10,spectral_qnn_reupload_multiobs_gated_supcon,SupCon,4,0.9380586890668847,0.9746364962943286,0.9312781210507447,0.9672937993789315,0.93865345950237
