dataset,model,shot,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,trainable_parameters
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,5,0.8699877922809653,0.02029372180003657,0.9098393043547786,0.013536116763811749,0.8332398400773613,0.02522900616475312,0.8718663117446124,0.010747341459431247,0.8770500288856615,0.018810092251797743,14.0,1563
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,5,0.9134234050065974,0.0295180464946426,0.9620615797918033,0.013836378763504005,0.9036533380272791,0.033009573818590765,0.9569525324351236,0.013852315540400909,0.9132451259399741,0.030593312650750933,13.6,2326
