train_fraction,model,runs,train_size_mean,best_val_oa_mean,best_val_oa_std,best_val_aa_mean,best_val_aa_std,best_val_macro_f1_mean,best_val_macro_f1_std
0.01,linear_probe,3,16.0,0.9804878048780488,0.000796582030173392,0.9855974998412602,0.0015988931353495353,0.9576149321124333,0.012850794236427949
0.01,mlp_probe,3,16.0,0.9785365853658536,0.0041391616459700385,0.9848556731576578,0.003002268988508862,0.9546539354131687,0.006854950402621192
0.01,gated_residual_qnn,3,16.0,0.959349593495935,0.004667544746148727,0.9673086324521982,0.0056129464105356625,0.9208263232155424,0.015376277321693119
0.01,residual_qnn,3,16.0,0.936910569105691,0.008058218987553689,0.9428819514945598,0.020599361626206212,0.8949464929838588,0.009178601764479844
0.03,linear_probe,3,31.0,0.9759349593495935,0.004867196600681554,0.9795069894400615,0.004132097223946222,0.9488684845791274,0.012782075885135831
0.03,mlp_probe,3,31.0,0.9726829268292683,0.003472220569766283,0.9747500718129279,0.003935832131288031,0.9395000603399574,0.006160750607109702
0.03,residual_qnn,3,31.0,0.969430894308943,0.008291088639988276,0.9502444211866438,0.007830141832478278,0.9277642267545699,0.019442299142618746
0.03,gated_residual_qnn,3,31.0,0.9609756097560975,0.014092974751232825,0.9433080304254094,0.02429840796267279,0.9174942690204078,0.017444234463506778
0.05,mlp_probe,3,51.0,0.985040650406504,0.0035919873226625265,0.9830358598114123,0.00714838627167535,0.9790681338626083,0.011903803965332365
0.05,linear_probe,3,51.0,0.9834146341463414,0.002107557950701745,0.9859478146270461,0.0029888227443033697,0.9788855981135258,0.006914777753843695
0.05,gated_residual_qnn,3,51.0,0.9743089430894308,0.003015810892844134,0.9695424455029159,0.007684737214382661,0.9612146355406382,0.011656812660416169
0.05,residual_qnn,3,51.0,0.9717073170731707,0.006221504542994799,0.9657290533565703,0.011862985229985515,0.958098628127432,0.012386638228331474
0.1,mlp_probe,3,102.0,0.9856910569105691,0.0035919873226625274,0.9839281041022563,0.008687928104037393,0.9776719506763895,0.001217771668788792
0.1,linear_probe,3,102.0,0.9821138211382113,0.0027975041518837835,0.9793508290356417,0.012632062864676722,0.9749448985962221,0.002242820134237126
0.1,residual_qnn,3,102.0,0.976260162601626,0.004387231727880343,0.9668051920329951,0.0029071806121939033,0.9693402367056331,0.008191233936344123
0.1,gated_residual_qnn,3,102.0,0.9746341463414634,0.003472220569766283,0.9399774875495721,0.03450430730887459,0.9454274638421092,0.030943163189332937
