run_id,model,train_fraction,seed,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1,validation_Weighted-F1
linear_probe_f0.01_seed0,linear_probe,0.01,0,1,2.778886318206787,0.0625,2.6992431019573675,0.15609756097560976,0.12452502410369336,0.096226807444451,0.11123282623997136,0.14599141935641288
linear_probe_f0.01_seed0,linear_probe,0.01,0,2,2.4727566242218018,0.125,2.4352644713332015,0.21853658536585366,0.2147898187071207,0.16435624820611783,0.20816184976215218,0.21713541971984143
linear_probe_f0.01_seed0,linear_probe,0.01,0,3,2.1836700439453125,0.25,2.187055268171357,0.32,0.46289348882657033,0.2763938856207562,0.4133103445530777,0.3169170951063924
linear_probe_f0.01_seed0,linear_probe,0.01,0,4,1.9132224321365356,0.625,1.9553013545710867,0.41268292682926827,0.5337171794137857,0.3722378669618368,0.49147125432475125,0.43143811263560866
linear_probe_f0.01_seed0,linear_probe,0.01,0,5,1.6628456115722656,0.75,1.7403733948963445,0.5560975609756098,0.6278763377933081,0.5171941513590512,0.5867243277257432,0.6002744072047583
linear_probe_f0.01_seed0,linear_probe,0.01,0,6,1.4337245225906372,0.9375,1.5426106714620822,0.7297560975609756,0.7783623223554297,0.7000650734929043,0.7066447731590214,0.7671550185801733
linear_probe_f0.01_seed0,linear_probe,0.01,0,7,1.2266827821731567,1.0,1.362237171661563,0.848780487804878,0.8724601920139385,0.8297776368261016,0.7881258329966319,0.8700142712687878
linear_probe_f0.01_seed0,linear_probe,0.01,0,8,1.0420632362365723,1.0,1.199236373552462,0.911219512195122,0.9107486075344602,0.8994108620092809,0.8659223887648245,0.921696323357223
linear_probe_f0.01_seed0,linear_probe,0.01,0,9,0.8796655535697937,1.0,1.0533303527134221,0.9463414634146341,0.9627456268908055,0.9390642649069616,0.9063087333270352,0.9530290461930986
linear_probe_f0.01_seed0,linear_probe,0.01,0,10,0.7387427687644958,1.0,0.9239878627730579,0.9570731707317073,0.9691518736215958,0.9511944904964527,0.9150061853864346,0.9612304650670151
linear_probe_f0.01_seed0,linear_probe,0.01,0,11,0.6180517077445984,1.0,0.810430312738186,0.9629268292682926,0.972358267718136,0.9578339078170197,0.9182869877268149,0.9658795795713796
linear_probe_f0.01_seed0,linear_probe,0.01,0,12,0.5159479975700378,1.0,0.7116551878975659,0.9707317073170731,0.9771950350005206,0.9666819442141977,0.9311875370499666,0.972082222370591
