run_id,model,seed,best_val_macro_f1,best_val_oa,best_val_aa,epochs_ran,training_time_seconds,params
linear_probe_seed0,linear_probe,0,0.9790263631686676,0.9892682926829268,0.9920796511817054,10,0.4898707866668701,2320
mlp_h64_seed0,mlp_h64,0,0.9931709165723979,0.9892682926829268,0.9932394239350155,17,0.9225599765777588,9552
mlp_h128_seed0,mlp_h128,0,0.9906486887819688,0.9882926829268293,0.9919843925699386,14,0.7691481113433838,18832
bottleneck_b4_seed0,bottleneck_b4,0,0.5820000731158211,0.7297560975609756,0.6172139797950015,20,0.9759280681610107,852
bottleneck_b8_seed0,bottleneck_b8,0,0.8972408990343073,0.9726829268292683,0.8851801936971821,20,0.9779927730560303,1432
bottleneck_b16_seed0,bottleneck_b16,0,0.9928345694433616,0.9873170731707317,0.9915615362851101,14,0.6912319660186768,2592
residual_qnn_q4_l1_linear_seed0,residual_qnn_q4_l1_linear,0,0.9850703691627538,0.9775609756097561,0.9835904377392288,12,35.37994694709778,2928
gated_residual_qnn_q4_l1_linear_seed0,gated_residual_qnn_q4_l1_linear,0,0.9880795831260158,0.9824390243902439,0.9884384716091328,16,45.06658720970154,3313
linear_probe_seed1,linear_probe,1,0.9775405478626402,0.9873170731707317,0.99006005013977,9,0.40311121940612793,2320
mlp_h64_seed1,mlp_h64,1,0.9950778442703239,0.9921951219512195,0.995168762533532,10,0.5401129722595215,9552
mlp_h128_seed1,mlp_h128,1,0.9836856139421144,0.9882926829268293,0.9768060946324258,9,0.5344538688659668,18832
bottleneck_b4_seed1,bottleneck_b4,1,0.5594556883510926,0.7795121951219512,0.6084503123054549,20,0.9950718879699707,852
bottleneck_b8_seed1,bottleneck_b8,1,0.8465832173223651,0.9717073170731707,0.8426563928878138,19,0.9399099349975586,1432
bottleneck_b16_seed1,bottleneck_b16,1,0.9753969238619163,0.975609756097561,0.9654365946199034,18,0.8962900638580322,2592
residual_qnn_q4_l1_linear_seed1,residual_qnn_q4_l1_linear,1,0.9921403788413208,0.9853658536585366,0.9920840159104938,16,50.97193217277527,2928
gated_residual_qnn_q4_l1_linear_seed1,gated_residual_qnn_q4_l1_linear,1,0.9778202656651496,0.9795121951219512,0.9718780871145161,13,41.252601146698,3313
linear_probe_seed2,linear_probe,2,0.9788338761397091,0.9882926829268293,0.991020329147807,9,0.44213032722473145,2320
mlp_h64_seed2,mlp_h64,2,0.994098477997178,0.9912195121951219,0.9931232596103052,12,0.692694902420044,9552
mlp_h128_seed2,mlp_h128,2,0.9801575807202582,0.9902439024390244,0.9929317062557594,13,0.7738051414489746,18832
bottleneck_b4_seed2,bottleneck_b4,2,0.4906187028206601,0.791219512195122,0.5088653433073382,9,0.47618603706359863,852
bottleneck_b8_seed2,bottleneck_b8,2,0.7893384012314779,0.9736585365853658,0.79626683895893,11,0.5862529277801514,1432
bottleneck_b16_seed2,bottleneck_b16,2,0.9839603454190646,0.9882926829268293,0.9763458780971536,18,0.9714822769165039,2592
residual_qnn_q4_l1_linear_seed2,residual_qnn_q4_l1_linear,2,0.9920675782582474,0.9882926829268293,0.9919431698181569,20,63.1662437915802,2928
gated_residual_qnn_q4_l1_linear_seed2,gated_residual_qnn_q4_l1_linear,2,0.9893703063505624,0.9873170731707317,0.9896903999350857,16,50.727378129959106,3313
