model,runs,params_mean,best_val_oa_mean,best_val_oa_std,best_val_aa_mean,best_val_aa_std,best_val_macro_f1_mean,best_val_macro_f1_std,training_time_seconds_mean,training_time_seconds_std,params_per_macro_f1
mlp_h64,3,9552.0,0.9908943089430894,0.0012167991501703885,0.9938438153596175,0.0009380786384348761,0.9941157462799666,0.0007785957258518638,0.718455950419108,0.1571923481460554,9608.539081836383
residual_qnn_q4_l1_linear,3,2928.0,0.983739837398374,0.004529557163311913,0.9892058744892932,0.003971129715493353,0.9897594420874407,0.0033158084636075815,49.83937430381775,11.371941744994611,2958.294587041004
gated_residual_qnn_q4_l1_linear,3,3313.0,0.9830894308943089,0.003219347946865585,0.9833356528862449,0.00811782775515096,0.9850900517139093,0.005167451564465929,45.68218882878622,3.8924776801499563,3363.144307706565
mlp_h128,3,18832.0,0.9889430894308943,0.0009198136991044528,0.987240731152708,0.007388530764531381,0.9848306278147804,0.004358832387009973,0.692469040552775,0.11174977358592936,19122.069793651648
bottleneck_b16,3,2592.0,0.983739837398374,0.005762616307859956,0.9777813363340556,0.010713653267833257,0.9840639462414474,0.007119265912710518,0.8530014355977377,0.11843560329584366,2633.97516990632
linear_probe,3,2320.0,0.9882926829268293,0.000796582030173392,0.9910533434897607,0.0008248290943088535,0.9784669290570056,0.0006597471243007983,0.4450374444325765,0.03547904663941732,2371.0561196338977
bottleneck_b8,3,1432.0,0.9726829268292683,0.000796582030173392,0.841367808514642,0.03631015927595336,0.8443875058627167,0.04407836294323192,0.8347185452779134,0.17637828276662462,1695.9038238455641
bottleneck_b4,3,852.0,0.766829268292683,0.02664682982194668,0.5781765451359315,0.04914083496210885,0.5440248214291913,0.038869203316819735,0.8157286643981934,0.24022006340323185,1566.105012932565
