run_id,model,seed,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Macro-F1,validation_Weighted-F1
linear_probe_seed0,linear_probe,0,1,0.4926874626544304,0.908203125,0.08892839101756492,0.9814634146341463,0.8202401455212961,0.8247712980460014,0.9783069723759682
linear_probe_seed0,linear_probe,0,2,0.033994439072557725,0.99609375,0.057582524208033954,0.9863414634146341,0.9291780825842331,0.9275767646871098,0.9854297960384684
linear_probe_seed0,linear_probe,0,3,0.015721182709967252,1.0,0.04537462049141163,0.9882926829268293,0.9914353212847982,0.9785729854821784,0.9883870262349499
linear_probe_seed0,linear_probe,0,4,0.009604386828868883,1.0,0.04011711932537032,0.9892682926829268,0.9920796511817054,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,5,0.006647602782322792,1.0,0.036732522161086884,0.9892682926829268,0.9920796511817054,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,6,0.005002302186767338,1.0,0.034705306331558924,0.9892682926829268,0.9920796511817054,0.9790263631686676,0.9893651893727139
linear_probe_seed0,linear_probe,0,7,0.003892779044690542,1.0,0.0336342148419197,0.9892682926829268,0.9920796511817054,0.9787450086078864,0.9893849489372272
linear_probe_seed0,linear_probe,0,8,0.0031373849687952315,1.0,0.03207449499971983,0.9892682926829268,0.9920796511817054,0.9787450086078864,0.9893849489372272
linear_probe_seed0,linear_probe,0,9,0.002549431960687798,1.0,0.0312307148776585,0.9892682926829268,0.9920796511817054,0.9787450086078864,0.9893849489372272
linear_probe_seed0,linear_probe,0,10,0.002142321468454611,1.0,0.030475105010654504,0.9892682926829268,0.9920796511817054,0.9787450086078864,0.9893849489372272
mlp_h64_seed0,mlp_h64,0,1,0.5492905495339073,0.89453125,0.06612146202611123,0.9824390243902439,0.8220046445224151,0.827518737177397,0.9792920450798431
mlp_h64_seed0,mlp_h64,0,2,0.04163917062760447,0.9931640625,0.04774916503794219,0.9824390243902439,0.8492183780166481,0.8544079781494837,0.9799651023497314
mlp_h64_seed0,mlp_h64,0,3,0.01723526802561537,0.9970703125,0.0410677919211434,0.9873170731707317,0.9768614118868226,0.9822772628487949,0.9873119032749672
mlp_h64_seed0,mlp_h64,0,4,0.01015709958073785,0.9990234375,0.03847400793882382,0.9863414634146341,0.9905399986565822,0.9781695741277412,0.9864503647203692
