dataset,shot,seed,model,hybridsn_oa,qnn_oa,delta_oa,hybridsn_macro_f1,qnn_macro_f1,delta_macro_f1,hybridsn_weighted_f1,qnn_weighted_f1,delta_weighted_f1
pavia_university,10,0,spectral_qnn_confguard_gated_supcon,0.8975490656399662,0.900178420508968,0.002629354869001843,0.8622790436612413,0.8664429621432272,0.00416391848198594,0.8976153601489932,0.9009902781233595,0.003374917974366287
pavia_university,10,1,spectral_qnn_confguard_gated_supcon,0.7473471687482393,0.8287867405390178,0.08143957179077854,0.633134598405753,0.8335535353185721,0.2004189369128191,0.7374703892049113,0.8345645707643627,0.09709418155945149
pavia_university,10,2,spectral_qnn_confguard_gated_supcon,0.8009907033524275,0.8698469339844117,0.0688562306319842,0.8129194504847996,0.8776582241393145,0.06473877365451486,0.8217979821040112,0.8831450852528053,0.0613471031487941
pavia_university,10,3,spectral_qnn_confguard_gated_supcon,0.8418865621185088,0.8522161705324444,0.010329608413935598,0.8359958329237123,0.867193068716663,0.03119723579295075,0.8434700626365937,0.8538286243695162,0.010358561732922489
pavia_university,10,4,spectral_qnn_confguard_gated_supcon,0.8253122358906939,0.8414874636116068,0.016175227720912844,0.8155510640620265,0.8506103219647344,0.03505925790270792,0.8398066280229542,0.8553708149272806,0.015564186904326371
salinas,10,0,spectral_qnn_confguard_gated_supcon,0.911408872121764,0.8576260476871899,-0.05378282443457416,0.9370495458884958,0.9372187047007419,0.0001691588122461063,0.9126156577270474,0.8583906648981542,-0.05422499282889326
salinas,10,1,spectral_qnn_confguard_gated_supcon,0.956865951792451,0.9482800275046925,-0.008585924287758506,0.975173410514579,0.9682832011175766,-0.006890209397002356,0.956984382643538,0.9487034147649681,-0.008280967878569911
salinas,10,2,spectral_qnn_confguard_gated_supcon,0.9435782118233008,0.9267594640301808,-0.01681874779311998,0.9630614098513072,0.9618174541676195,-0.0012439556836876253,0.9436368037242812,0.9267416799844788,-0.016895123739802398
salinas,10,3,spectral_qnn_confguard_gated_supcon,0.9430021000204428,0.9458269062796186,0.002824806259175805,0.9610610207427712,0.9672500261890457,0.0061890054462744315,0.9433312562684516,0.9463058085385515,0.002974552270099906
salinas,10,4,spectral_qnn_confguard_gated_supcon,0.9252355553903622,0.9449906149528889,0.019755059562526767,0.935743628939,0.967674760028497,0.03193113108949697,0.9242604876238814,0.945400328467586,0.021139840843704683
