dataset,shot,seed,model,hybridsn_oa,qnn_oa,delta_oa,hybridsn_macro_f1,qnn_macro_f1,delta_macro_f1,hybridsn_weighted_f1,qnn_weighted_f1,delta_weighted_f1
pavia_university,10,0,spectral_qnn_confguard_gated_supcon,0.8975490656399662,0.9002958024227627,0.002746736782796577,0.8622790436612413,0.8657473090090031,0.0034682653477617897,0.8976153601489932,0.9013055809363355,0.0036902207873422688
pavia_university,10,1,spectral_qnn_confguard_gated_supcon,0.7473471687482393,0.8248192318527561,0.07747206310451682,0.633134598405753,0.8300735166715469,0.1969389182657939,0.7374703892049113,0.8309657897355682,0.09349540053065697
pavia_university,10,2,spectral_qnn_confguard_gated_supcon,0.8009907033524275,0.8705042727016621,0.06951356934923458,0.8129194504847996,0.878273701512602,0.06535425102780235,0.8217979821040112,0.8837796692459329,0.06198168714192165
pavia_university,10,3,spectral_qnn_confguard_gated_supcon,0.8418865621185088,0.8509484458634614,0.009061883744952648,0.8359958329237123,0.8697393617440805,0.03374352882036824,0.8434700626365937,0.8523164597634153,0.008846397126821559
pavia_university,10,4,spectral_qnn_confguard_gated_supcon,0.8253122358906939,0.841769180204714,0.016456944314020117,0.8155510640620265,0.8527145761012663,0.03716351203923984,0.8398066280229542,0.8561068015409267,0.016300173517972416
salinas,10,0,spectral_qnn_confguard_gated_supcon,0.911408872121764,0.8580906539798175,-0.05331821814194648,0.9370495458884958,0.9373899737940976,0.00034042790560184777,0.9126156577270474,0.8589115957837742,-0.05370406194327326
salinas,10,1,spectral_qnn_confguard_gated_supcon,0.956865951792451,0.9464959393410024,-0.01037001245144864,0.975173410514579,0.9675125646947771,-0.007660845819801865,0.956984382643538,0.9469263894520833,-0.010057993191454728
salinas,10,2,spectral_qnn_confguard_gated_supcon,0.9435782118233008,0.9281161144046535,-0.015462097418647347,0.9630614098513072,0.9630231039485807,-3.830590272646539e-05,0.9436368037242812,0.9280065737991132,-0.015630229925167938
salinas,10,3,spectral_qnn_confguard_gated_supcon,0.9430021000204428,0.9524800683900463,0.009477968369603462,0.9610610207427712,0.9705673378316209,0.009506317088849636,0.9433312562684516,0.9530049178455662,0.009673661577114578
salinas,10,4,spectral_qnn_confguard_gated_supcon,0.9252355553903622,0.9447118511773124,0.019476295786950204,0.935743628939,0.9677011771451085,0.03195754820610852,0.9242604876238814,0.9451333472815012,0.02087285965761987
