dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
pavia_university,10,spectral_qnn_confguard_gated_supcon,SupCon,0,0.9002958024227627,0.9026379942581317,0.8698219929718681,0.8657473090090031,0.9013055809363355
pavia_university,10,spectral_qnn_confguard_gated_supcon,SupCon,1,0.8248192318527561,0.8635075386613571,0.7759146670889902,0.8300735166715469,0.8309657897355682
pavia_university,10,spectral_qnn_confguard_gated_supcon,SupCon,2,0.8705042727016621,0.9232413199430324,0.8352342662250952,0.878273701512602,0.8837796692459329
pavia_university,10,spectral_qnn_confguard_gated_supcon,SupCon,3,0.8509484458634614,0.8942190410936104,0.8080514198528007,0.8697393617440805,0.8523164597634153
pavia_university,10,spectral_qnn_confguard_gated_supcon,SupCon,4,0.841769180204714,0.890390833172189,0.7989151699868035,0.8527145761012663,0.8561068015409267
salinas,10,spectral_qnn_confguard_gated_supcon,SupCon,0,0.8580906539798175,0.94123632896842,0.8421562352206053,0.9373899737940976,0.8589115957837742
salinas,10,spectral_qnn_confguard_gated_supcon,SupCon,1,0.9464959393410024,0.9732903756971949,0.9405052591356915,0.9675125646947771,0.9469263894520833
salinas,10,spectral_qnn_confguard_gated_supcon,SupCon,2,0.9281161144046535,0.9671545050539061,0.9199514826012171,0.9630231039485807,0.9280065737991132
salinas,10,spectral_qnn_confguard_gated_supcon,SupCon,3,0.9524800683900463,0.9754574376663919,0.9471760528071203,0.9705673378316209,0.9530049178455662
salinas,10,spectral_qnn_confguard_gated_supcon,SupCon,4,0.9447118511773124,0.9721287346564688,0.9385080680286566,0.9677011771451085,0.9451333472815012
