dataset,shot,model,runs,baseline_runs,baseline_oa,qnn_oa,delta_oa,positive_oa_seeds,baseline_macro_f1,qnn_macro_f1,delta_macro_f1,positive_macro_f1_seeds,passes_oa_macro_f1_rule
pavia_university,10,spectral_qnn_confguard_gated_supcon,5,5,0.8226171471499673,0.8576673866090712,0.035050239459103905,5,0.7919759979075065,0.8593096930076998,0.06733369510019327,5,True
salinas,10,spectral_qnn_confguard_gated_supcon,5,5,0.9360181382296642,0.9259789254585664,-0.01003921277109776,2,0.9544178031872306,0.9612388314828368,0.0068210282956062684,3,False
