epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.728805964026553,0.22261222981710696,0.21943174907232554,0.18169645049549832,0.16588288033892404
2,2.5514713612998405,0.23369665619804175,0.23419509099913333,0.1920763250308687,0.1702175078899286
3,2.427394069571541,0.3822279697025679,0.20706444646211827,0.3035945014770616,0.16789524803818925
4,2.2701204492705713,0.5043414003325328,0.27964683517124916,0.41892236632186297,0.22473205571014004
5,2.1296053221731475,0.5100683539626825,0.28185420547060386,0.42545639117746914,0.22679234712299154
6,2.0435082216396743,0.5292813596896361,0.2856253588878901,0.4455880931263101,0.23202308810581668
7,1.9669512239810016,0.5405505265102531,0.2914969871966766,0.459236197642386,0.23603745220308686
8,1.8989794240205797,0.5411047478292998,0.293206468806911,0.4607067830083008,0.23717107213839123
9,1.8384147557345303,0.5508959911324589,0.2995359582298304,0.47166033922618555,0.24771387353319196
10,1.7701640815445872,0.621466839091077,0.36234818668307617,0.5595757468061386,0.31428904051651907
11,1.7034990260623952,0.6386476999815259,0.39937200832623165,0.5799255256322793,0.37080250015695476
12,1.6454133499311854,0.6488084241640495,0.42384987593314766,0.5927362920855321,0.39607358644536284
13,1.5845299348598574,0.6707925364862368,0.4629867687064927,0.6186982257783282,0.4321647568472442
14,1.5247959143482837,0.6927766488084242,0.48923030904808956,0.6458213674654771,0.4556242971167902
15,1.467638125793192,0.7385922778496213,0.5601845296936672,0.7005408557677943,0.5348719541412846
