dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,residual_scale_final,mean_train_guard
pavia_university,spectral_qnn_confguard_gated_supcon,10,0,0.900178420508968,0.9018685531582419,0.869611944730549,0.8664429621432272,0.9009902781233595,11,12.177082061767578,70.2708830833435,1477,90,90,42596,1.0,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,1,0.8287867405390178,0.8674736261751982,0.7809255937855766,0.8335535353185721,0.8345645707643627,18,16.80695414543152,74.69265007972717,1477,90,90,42596,1.0,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,2,0.8698469339844117,0.9227131901082348,0.8344332228400684,0.8776582241393145,0.8831450852528053,12,13.561152219772339,74.67815279960632,1477,90,90,42596,1.0,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,3,0.8522161705324444,0.8907246556879043,0.8094680777566567,0.867193068716663,0.8538286243695162,21,18.774095058441162,74.37475872039795,1477,90,90,42596,1.0,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,4,0.8414874636116068,0.8883675261574312,0.7984855821290524,0.8506103219647344,0.8553708149272806,10,12.211565971374512,75.90003991127014,1477,90,90,42596,1.0,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,0,0.8576260476871899,0.9411680398492326,0.8416250347152237,0.9372187047007419,0.8583906648981542,15,23.552245140075684,90.91693592071533,2212,160,160,53809,1.0,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,1,0.9482800275046925,0.9741427563024562,0.9424903941598459,0.9682832011175766,0.9487034147649681,10,21.870636224746704,95.11294293403625,2212,160,160,53809,1.0,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,2,0.9267594640301808,0.9664096065896847,0.9184657989205746,0.9618174541676195,0.9267416799844788,12,24.18373203277588,97.83269596099854,2212,160,160,53809,1.0,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,3,0.9458269062796186,0.9715874308807834,0.9397355559445938,0.9672500261890457,0.9463058085385515,23,37.29248094558716,98.80297708511353,2212,160,160,53809,1.0,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,4,0.9449906149528889,0.9722890021655034,0.9388160177337861,0.967674760028497,0.945400328467586,16,24.70836114883423,85.53569293022156,2212,160,160,53809,1.0,1.0
