dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,residual_scale_final
pavia_university,spectral_qnn_confguard_gated_supcon,10,0,0.9004601371020753,0.9030898717690915,0.8700496567531462,0.8657673807825264,0.9015314689317061,11,12.88550090789795,76.37340688705444,1477,90,90,42596,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,1,0.8221194478354775,0.8609648846657854,0.7725155405787334,0.8276108306104172,0.8286178442223986,15,15.292458057403564,76.25596809387207,1477,90,90,42596,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,2,0.8706451309982158,0.9233078277255738,0.8354046223939071,0.8782916550481285,0.8839353102598594,12,13.671499967575073,77.45247197151184,1477,90,90,42596,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,3,0.8500563433186215,0.8940394481013451,0.8069468593374874,0.8693507938470102,0.8514190290208951,14,14.915964126586914,76.51686787605286,1477,90,90,42596,1.0
pavia_university,spectral_qnn_confguard_gated_supcon,10,4,0.8415344163771246,0.8903127985225218,0.7986205875502717,0.8525874358859276,0.8558860991390703,9,11.911606073379517,76.92848992347717,1477,90,90,42596,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,0,0.8583136650002787,0.9413848497395563,0.8424041283136052,0.9376220777006933,0.8591390154717522,15,26.467910051345825,94.84953999519348,2212,160,160,53809,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,1,0.945009199204594,0.9727290261204529,0.9388520554818052,0.9669480570153843,0.945449434005937,10,21.957875967025757,96.96813702583313,2212,160,160,53809,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,2,0.9266665427716553,0.966943923916195,0.918352592673901,0.9627248002306965,0.9266432516877126,19,31.96350908279419,96.75605297088623,2212,160,160,53809,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,3,0.9504543849541898,0.9753920485445086,0.9449414644197365,0.9700594672499319,0.9510317763072949,17,29.945319890975952,97.23184895515442,2212,160,160,53809,1.0
salinas,spectral_qnn_confguard_gated_supcon,10,4,0.9447118511773124,0.972324888236645,0.9385205000172913,0.9677298003117902,0.9451698444726075,16,28.71804976463318,96.51926803588867,2212,160,160,53809,1.0
