dataset,shot,seed,mean_gate,mean_gate_correct,mean_gate_wrong,samples
pavia_university,10,0,0.4535854948123628,0.44944087529607607,0.4910786613611118,42596
pavia_university,10,1,0.6552728469912877,0.657639288681695,0.6443357450305685,42596
pavia_university,10,2,0.4399474444306309,0.43023136327676914,0.5053431950063325,42596
pavia_university,10,3,0.5509846491613392,0.5529826519377944,0.5396576282543925,42596
pavia_university,10,4,0.5404382879424345,0.5411060289315851,0.5368922370539772,42596
salinas,10,0,0.48206990196541855,0.47936508653870363,0.4984552509269647,53809
salinas,10,1,0.5664429804842075,0.5677955044458749,0.5432000458945532,53809
salinas,10,2,0.4442015817927965,0.44494253550473195,0.43483863832137337,53809
salinas,10,3,0.43726436991280765,0.43891062832637606,0.40568350192888825,53809
salinas,10,4,0.35405653093183476,0.3563469650612473,0.3149197482311425,53809
