dataset,shot,seed,metric,hybridsn_value,qnn_value,delta,qnn_better
indian_pines,5,0,mean_true_logit_margin,0.8950819846383703,0.977052223715089,0.08197023907671874,True
indian_pines,5,0,negative_logit_margin_rate,0.266560255387071,0.26785714285714285,0.0012968874700718391,False
indian_pines,5,0,low_logit_margin_rate,0.01157222665602554,0.00528731045490822,-0.006284916201117319,True
indian_pines,5,0,mean_true_prob_margin,0.3503803480962418,0.36077492430902486,0.010394576212783058,True
indian_pines,5,0,negative_prob_margin_rate,0.266560255387071,0.26785714285714285,0.0012968874700718391,False
indian_pines,5,0,safe_prob_margin_rate,0.7111931364724661,0.7230646448523543,0.011871508379888263,True
indian_pines,5,0,Macro-F1,0.6583653024297598,0.6656739977325936,0.007308695302833845,True
indian_pines,5,0,OA,0.7334397446129289,0.7321428571428571,-0.0012968874700718391,False
indian_pines,5,1,mean_true_logit_margin,1.1003433057567489,0.5809287080719268,-0.5194145976848221,False
indian_pines,5,1,negative_logit_margin_rate,0.2664604948124501,0.28541500399042297,0.018954509177972867,False
indian_pines,5,1,low_logit_margin_rate,0.011671987230646448,0.01646049481245012,0.004788507581803672,False
indian_pines,5,1,mean_true_prob_margin,0.35303055094242847,0.18975949442736803,-0.16327105651506044,False
indian_pines,5,1,negative_prob_margin_rate,0.2664604948124501,0.28541500399042297,0.018954509177972867,False
indian_pines,5,1,safe_prob_margin_rate,0.706803671189146,0.6749800478850758,-0.03182362330407018,False
indian_pines,5,1,Macro-F1,0.647414822448068,0.6301996055401855,-0.017215216907882525,False
indian_pines,5,1,OA,0.7335395051875498,0.714584996009577,-0.01895450917797281,False
indian_pines,5,2,mean_true_logit_margin,0.8234203309905208,1.1769458128934494,0.35352548190292854,True
indian_pines,5,2,negative_logit_margin_rate,0.30975658419792496,0.30007980845969673,-0.009676775738228227,True
indian_pines,5,2,low_logit_margin_rate,0.01067438148443735,0.008379888268156424,-0.0022944932162809253,True
indian_pines,5,2,mean_true_prob_margin,0.2927484778773272,0.36934781157103885,0.07659933369371164,True
indian_pines,5,2,negative_prob_margin_rate,0.30975658419792496,0.30007980845969673,-0.009676775738228227,True
indian_pines,5,2,safe_prob_margin_rate,0.6641061452513967,0.688048683160415,0.023942537909018347,True
indian_pines,5,2,Macro-F1,0.5974467497063234,0.6155562801753705,0.018109530469047064,True
indian_pines,5,2,OA,0.690243415802075,0.6999201915403033,0.009676775738228227,True
indian_pines,5,3,mean_true_logit_margin,0.6771630258602295,1.0473892254530432,0.3702261995928138,True
indian_pines,5,3,negative_logit_margin_rate,0.286512370311253,0.2864126097366321,-9.97605746209107e-05,True
indian_pines,5,3,low_logit_margin_rate,0.01137270550678372,0.007182761372705506,-0.004189944134078213,True
indian_pines,5,3,mean_true_prob_margin,0.2862733558667513,0.36577445330215,0.07950109743539874,True
indian_pines,5,3,negative_prob_margin_rate,0.286512370311253,0.2864126097366321,-9.97605746209107e-05,True
indian_pines,5,3,safe_prob_margin_rate,0.6920391061452514,0.7033120510774142,0.011272944932162798,True
indian_pines,5,3,Macro-F1,0.6520246711424218,0.6516667289028997,-0.00035794223952212434,False
indian_pines,5,3,OA,0.713487629688747,0.7135873902633679,9.97605746209107e-05,True
indian_pines,5,4,mean_true_logit_margin,0.8271477150934075,1.0053215492955287,0.1781738342021213,True
indian_pines,5,4,negative_logit_margin_rate,0.26975259377494015,0.25768156424581007,-0.012071029529130084,True
indian_pines,5,4,low_logit_margin_rate,0.015462889066241022,0.008778930566640064,-0.006683958499600958,True
