dataset,shot,model,class_id,class_name,support,OA_or_recall,F1,mean_true_logit_margin,negative_logit_margin_rate,mean_true_prob_margin,negative_prob_margin_rate
indian_pines,5,hybridsn_small,0,Alfalfa,5,0.9939393939393939,0.3827612156230379,2.4594052620570768,0.006060606060606061,0.6774945635445421,0.006060606060606061
indian_pines,5,hybridsn_small,1,Corn-notill,5,0.5586694975230007,0.6418358819707981,-0.02594171484420832,0.44133050247699923,0.065761359254252,0.44133050247699923
indian_pines,5,hybridsn_small,2,Corn-mintill,5,0.46208588957055213,0.4902816592674342,-0.7117441399628582,0.5379141104294478,-0.08781523548494921,0.5379141104294478
indian_pines,5,hybridsn_small,3,Corn,5,0.909009009009009,0.8184620477554733,1.586367916174837,0.09099099099099099,0.4496389443777266,0.09099099099099099
indian_pines,5,hybridsn_small,4,Grass-pasture,5,0.7017094017094017,0.7278024205290887,0.5490235793038121,0.2982905982905983,0.29808261020690924,0.2982905982905983
indian_pines,5,hybridsn_small,5,Grass-trees,5,0.8721678321678322,0.8429392821685348,1.5182926354290254,0.12783216783216783,0.44858263823686195,0.12783216783216783
indian_pines,5,hybridsn_small,6,Grass-pasture-mowed,5,1.0,0.42711608659703015,3.2149880631973873,0.0,0.8324737745532769,0.0
indian_pines,5,hybridsn_small,7,Hay-windrowed,5,0.9974082073434125,0.9380968097881986,3.1860474264719896,0.002591792656587473,0.8202115210176121,0.002591792656587473
indian_pines,5,hybridsn_small,8,Oats,5,1.0,0.2005475321122391,2.0952068816870453,0.0,0.6370579744484427,0.0
indian_pines,5,hybridsn_small,9,Soybean-notill,5,0.7111807732497387,0.7556386720161161,0.6421565014915687,0.2888192267502613,0.2893964753893698,0.2888192267502613
indian_pines,5,hybridsn_small,10,Soybean-mintill,5,0.7077868852459016,0.7846390620790837,0.6178942318413918,0.2922131147540984,0.29281975471522614,0.2922131147540984
indian_pines,5,hybridsn_small,11,Soybean-clean,5,0.5321799307958477,0.529673091207777,-0.32888600639467197,0.4678200692041522,0.0025658422977631657,0.4678200692041522
indian_pines,5,hybridsn_small,12,Wheat,5,0.9989473684210527,0.5415157009339151,2.7269605904543086,0.0010526315789473684,0.7927071753692843,0.0010526315789473684
indian_pines,5,hybridsn_small,13,Woods,5,0.82736,0.8784969723936765,1.9828278802226484,0.17264,0.5603578814764705,0.17264
indian_pines,5,hybridsn_small,14,Buildings-Grass-Trees-Drives,5,0.9633423180592992,0.7270220829099088,2.3140428538662645,0.036657681940700806,0.646147875533128,0.036657681940700806
indian_pines,5,hybridsn_small,15,Stone-Steel-Towers,5,0.9897435897435898,0.5220134158103342,2.0421873136781725,0.010256410256410256,0.6242819315575795,0.010256410256410256
indian_pines,5,spectral_qnn_gated_proto,0,Alfalfa,5,1.0,0.42459463264330966,2.8533715067487777,0.0,0.716699044928224,0.0
indian_pines,5,spectral_qnn_gated_proto,1,Corn-notill,5,0.5235668789808916,0.6189225154769676,-0.2998768421071888,0.4764331210191083,0.023803513502532687,0.4764331210191083
indian_pines,5,spectral_qnn_gated_proto,2,Corn-mintill,5,0.46085889570552147,0.49285080021583233,-0.5255889087504039,0.5391411042944785,0.00950718148637541,0.5391411042944785
indian_pines,5,spectral_qnn_gated_proto,3,Corn,5,0.8981981981981981,0.798585182306112,1.8751844032122207,0.1018018018018018,0.5128498079002137,0.1018018018018018
indian_pines,5,spectral_qnn_gated_proto,4,Grass-pasture,5,0.7102564102564104,0.7443791662110909,1.0105098236200964,0.2897435897435897,0.3841889572159717,0.2897435897435897
indian_pines,5,spectral_qnn_gated_proto,5,Grass-trees,5,0.8841958041958042,0.8421611670157253,1.740551276543549,0.1158041958041958,0.4845469887764158,0.1158041958041958
indian_pines,5,spectral_qnn_gated_proto,6,Grass-pasture-mowed,5,1.0,0.45385939741750364,2.969990583469993,0.0,0.7543603653392748,0.0
indian_pines,5,spectral_qnn_gated_proto,7,Hay-windrowed,5,0.9995680345572353,0.9253186435263142,3.2399109741524024,0.0004319654427645789,0.7755096121918033,0.0004319654427645789
indian_pines,5,spectral_qnn_gated_proto,8,Oats,5,0.9666666666666666,0.2129954832358795,1.845951728026072,0.03333333333333333,0.5215960769618413,0.03333333333333333
indian_pines,5,spectral_qnn_gated_proto,9,Soybean-notill,5,0.7517241379310344,0.7524024508879956,0.9926539099686694,0.24827586206896549,0.3550502507051424,0.24827586206896549
indian_pines,5,spectral_qnn_gated_proto,10,Soybean-mintill,5,0.7177868852459016,0.7920338425560838,0.7466229257866984,0.2822131147540984,0.3138779921324413,0.2822131147540984
indian_pines,5,spectral_qnn_gated_proto,11,Soybean-clean,5,0.49550173010380616,0.5027302972211638,-0.34542648915111196,0.5044982698961937,0.003081981388653654,0.5044982698961937
indian_pines,5,spectral_qnn_gated_proto,12,Wheat,5,0.9989473684210527,0.6098413625538701,2.65268963026373,0.0010526315789473684,0.6989194099906384,0.0010526315789473684
indian_pines,5,spectral_qnn_gated_proto,13,Woods,5,0.82256,0.8628747788473996,1.9431998914106192,0.17744,0.5198037165742054,0.17744
indian_pines,5,spectral_qnn_gated_proto,14,Buildings-Grass-Trees-Drives,5,0.9811320754716981,0.7171419207815266,2.5237977800986195,0.01886792452830189,0.6751780340634349,0.01886792452830189
indian_pines,5,spectral_qnn_gated_proto,15,Stone-Steel-Towers,5,0.9923076923076923,0.5086873916103347,2.594853419829638,0.007692307692307693,0.6824900722530656,0.007692307692307693
indian_pines,10,hybridsn_small,0,Alfalfa,10,1.0,0.4325548344007581,3.849884825212688,0.0,0.8864290527893693,0.0
indian_pines,10,hybridsn_small,1,Corn-notill,10,0.7208806818181819,0.7394515363652097,0.9587854000851539,0.2791193181818182,0.2716213527660715,0.2791193181818182
indian_pines,10,hybridsn_small,2,Corn-mintill,10,0.7330864197530864,0.7327951325215514,0.8055392428715196,0.2669135802469136,0.2635018405704005,0.2669135802469136
indian_pines,10,hybridsn_small,3,Corn,10,0.9769585253456221,0.8679573079964007,3.2191284376578535,0.023041474654377885,0.7479400261980305,0.023041474654377885
indian_pines,10,hybridsn_small,4,Grass-pasture,10,0.809071274298056,0.8568769842423066,2.3773214754314598,0.19092872570194383,0.5676528232281142,0.19092872570194383
indian_pines,10,hybridsn_small,5,Grass-trees,10,0.8938028169014084,0.8517567111479882,2.563545919295243,0.10619718309859154,0.6372229742124962,0.10619718309859154
