dataset,shot,class_id,class_name,hybridsn_F1,qnn_F1,delta_F1,hybridsn_negative_logit_margin_rate,qnn_negative_logit_margin_rate,delta_negative_logit_margin_rate,hybridsn_mean_true_logit_margin,qnn_mean_true_logit_margin,delta_mean_true_logit_margin
indian_pines,5,0,Alfalfa,0.3827612156230379,0.42459463264330966,0.04183341702027177,0.006060606060606061,0.0,-0.006060606060606061,2.4594052620570768,2.8533715067487777,0.39396624469170094
indian_pines,5,1,Corn-notill,0.6418358819707981,0.6189225154769676,-0.022913366493830467,0.44133050247699923,0.4764331210191083,0.035102618542109054,-0.02594171484420832,-0.2998768421071888,-0.27393512726298047
indian_pines,5,2,Corn-mintill,0.4902816592674342,0.49285080021583233,0.0025691409483981076,0.5379141104294478,0.5391411042944785,0.0012269938650306678,-0.7117441399628582,-0.5255889087504039,0.18615523121245436
indian_pines,5,3,Corn,0.8184620477554733,0.798585182306112,-0.019876865449361292,0.09099099099099099,0.1018018018018018,0.010810810810810811,1.586367916174837,1.8751844032122207,0.2888164870373837
indian_pines,5,4,Grass-pasture,0.7278024205290887,0.7443791662110909,0.01657674568200218,0.2982905982905983,0.2897435897435897,-0.008547008547008572,0.5490235793038121,1.0105098236200964,0.4614862443162844
indian_pines,5,5,Grass-trees,0.8429392821685348,0.8421611670157253,-0.0007781151528094554,0.12783216783216783,0.1158041958041958,-0.012027972027972025,1.5182926354290254,1.740551276543549,0.22225864111452354
indian_pines,5,6,Grass-pasture-mowed,0.42711608659703015,0.45385939741750364,0.026743310820473487,0.0,0.0,0.0,3.2149880631973873,2.969990583469993,-0.24499747972739438
indian_pines,5,7,Hay-windrowed,0.9380968097881986,0.9253186435263142,-0.012778166261884438,0.002591792656587473,0.0004319654427645789,-0.0021598272138228943,3.1860474264719896,3.2399109741524024,0.05386354768041279
indian_pines,5,8,Oats,0.2005475321122391,0.2129954832358795,0.012447951123640388,0.0,0.03333333333333333,0.03333333333333333,2.0952068816870453,1.845951728026072,-0.24925515366097328
indian_pines,5,9,Soybean-notill,0.7556386720161161,0.7524024508879956,-0.0032362211281204978,0.2888192267502613,0.24827586206896549,-0.040543364681295796,0.6421565014915687,0.9926539099686694,0.35049740847710076
indian_pines,5,10,Soybean-mintill,0.7846390620790837,0.7920338425560838,0.00739478047700004,0.2922131147540984,0.2822131147540984,-0.010000000000000009,0.6178942318413918,0.7466229257866984,0.12872869394530662
indian_pines,5,11,Soybean-clean,0.529673091207777,0.5027302972211638,-0.026942793986613145,0.4678200692041522,0.5044982698961937,0.03667820069204153,-0.32888600639467197,-0.34542648915111196,-0.01654048275643999
indian_pines,5,12,Wheat,0.5415157009339151,0.6098413625538701,0.06832566161995501,0.0010526315789473684,0.0010526315789473684,0.0,2.7269605904543086,2.65268963026373,-0.07427096019057844
indian_pines,5,13,Woods,0.8784969723936765,0.8628747788473996,-0.015622193546276919,0.17264,0.17744,0.004799999999999999,1.9828278802226484,1.9431998914106192,-0.039627988812029225
indian_pines,5,14,Buildings-Grass-Trees-Drives,0.7270220829099088,0.7171419207815266,-0.009880162128382164,0.036657681940700806,0.01886792452830189,-0.017789757412398917,2.3140428538662645,2.5237977800986195,0.20975492623235503
indian_pines,5,15,Stone-Steel-Towers,0.5220134158103342,0.5086873916103347,-0.013326024199999509,0.010256410256410256,0.007692307692307693,-0.0025641025641025637,2.0421873136781725,2.594853419829638,0.5526661061514653
indian_pines,10,0,Alfalfa,0.4325548344007581,0.43484225839095964,0.0022874239902015425,0.0,0.0,0.0,3.849884825212688,3.430003398862378,-0.4198814263503099
indian_pines,10,1,Corn-notill,0.7394515363652097,0.7554954946085346,0.01604395824332494,0.2791193181818182,0.2828125,0.0036931818181818454,0.9587854000851539,1.0637217643779215,0.10493636429276765
indian_pines,10,2,Corn-mintill,0.7327951325215514,0.7772704232745187,0.0444752907529673,0.2669135802469136,0.24888888888888888,-0.018024691358024703,0.8055392428715196,1.0538887134194375,0.2483494705479179
indian_pines,10,3,Corn,0.8679573079964007,0.8469165930337482,-0.021040714962652474,0.023041474654377885,0.022119815668202765,-0.0009216589861751195,3.2191284376578535,2.8874646082451814,-0.33166382941267214
indian_pines,10,4,Grass-pasture,0.8568769842423066,0.8587944324597124,0.0019174482174058038,0.19092872570194383,0.19352051835853132,0.0025917926565874883,2.3773214754314598,2.0586302771552853,-0.3186911982761744
indian_pines,10,5,Grass-trees,0.8517567111479882,0.8604423467932047,0.008685635645216516,0.10619718309859154,0.09154929577464789,-0.014647887323943648,2.563545919295243,2.471389386150199,-0.0921565331450438
indian_pines,10,6,Grass-pasture-mowed,0.45116284061517326,0.4265526883878724,-0.02461015222730084,0.0,0.0,0.0,3.652675951917966,3.47842223962148,-0.174253712296486
indian_pines,10,7,Hay-windrowed,0.9686319377871324,0.9628685662125214,-0.0057633715746110425,0.0,0.0,0.0,5.253598862732293,3.6539407992857513,-1.5996580634465416
indian_pines,10,8,Oats,0.22247686507525555,0.21052868849479017,-0.011948176580465375,0.0,0.025,0.025,2.3247846610844136,2.641898500919342,0.31711383983492825
indian_pines,10,9,Soybean-notill,0.7849559411947384,0.782893588126879,-0.0020623530678594015,0.1846638655462185,0.18781512605042017,0.0031512605042016695,1.766247666774889,1.544462323789837,-0.22178534298505204
indian_pines,10,10,Soybean-mintill,0.8132647587057861,0.8244503160404527,0.01118555733466664,0.28763860369609856,0.27039014373716636,-0.017248459958932205,1.012503682387901,1.122452930002196,0.10994924761429492
indian_pines,10,11,Soybean-clean,0.6912481430514272,0.673117431894475,-0.018130711156952195,0.3808027923211169,0.37661431064572426,-0.004188481675392652,0.3182122267116297,0.6391153628237378,0.32090313611210813
indian_pines,10,12,Wheat,0.7545577648825338,0.788347272934603,0.03378950805206926,0.011891891891891892,0.002162162162162162,-0.00972972972972973,2.5375281496194972,3.3690999037510636,0.8315717541315664
indian_pines,10,13,Woods,0.9361808949665814,0.9368436531927766,0.0006627582261952147,0.08096385542168674,0.06923694779116465,-0.011726907630522088,3.2772873371531324,3.0562107004452663,-0.22107663670786604
indian_pines,10,14,Buildings-Grass-Trees-Drives,0.7797424114978091,0.7550293217192917,-0.024713089778517383,0.0049180327868852455,0.00546448087431694,0.0005464480874316944,3.968298709687976,3.3533665409830755,-0.6149321687049003
indian_pines,10,15,Stone-Steel-Towers,0.5616903408270152,0.5971917491804105,0.035501408353395325,0.0,0.005479452054794521,0.005479452054794521,2.15483846370488,2.3694218642091096,0.21458340050422953
pavia_university,5,0,Asphalt,0.7322429398134768,0.7544097057918482,0.022166765978371417,0.320223700120919,0.31363361547762997,-0.006590084643289029,0.6798164619979175,0.5965276250612337,-0.08328883693668376
pavia_university,5,1,Meadows,0.8097828084539772,0.8304656751646793,0.020682866710702075,0.2947729955994419,0.27173983041751637,-0.023033165181925552,1.1992709319315589,0.8271711827239905,-0.3720997492075684
pavia_university,5,2,Gravel,0.7510205235700577,0.7125471516343014,-0.038473371935756284,0.17783109404990402,0.14404990403071016,-0.03378119001919386,1.6349413978730485,1.6149780603565431,-0.019963337516505364
pavia_university,5,3,Trees,0.5882858568125171,0.5704174520809232,-0.0178684047315939,0.24447359790095113,0.32233519186618564,0.07786159396523451,1.3022343645379817,0.8293286800116946,-0.4729056845262871
pavia_university,5,4,Painted metal sheets,0.913089133595764,0.9435507371621087,0.03046160356634464,0.033533834586466166,0.01263157894736842,-0.020902255639097745,3.4206072908637104,3.205829082479826,-0.21477820838388428
pavia_university,5,5,Bare Soil,0.8252241953663774,0.8053392443724412,-0.019884950993936168,0.08436378141204628,0.05867570801755086,-0.025688073394495428,2.5348886737553764,1.9769029351556564,-0.55798573859972
pavia_university,5,6,Bitumen,0.8769301459341771,0.8766093505516995,-0.0003207953824775345,0.026615969581749048,0.016577946768060837,-0.010038022813688211,2.916255210335845,2.4607341763615156,-0.4555210339743292
pavia_university,5,7,Self-Blocking Bricks,0.7312899159349228,0.7149437540910423,-0.01634616184388049,0.12184346877556584,0.15047722934278704,0.028633760567221195,1.1973535788340992,1.2447545400030051,0.04740096116890591
pavia_university,5,8,Shadows,0.6298187219566929,0.7315593354690353,0.10174061351234243,0.3336909871244636,0.2963519313304721,-0.037339055793991494,0.7742393547142935,0.9349503198810434,0.16071096516674988
pavia_university,10,0,Asphalt,0.7193519799105886,0.8240192585389524,0.10466727862836378,0.36593556194221744,0.22462562396006652,-0.1413099379821509,0.5962632047728973,0.9808305229578348,0.3845673181849375
pavia_university,10,1,Meadows,0.9070657620458501,0.9041134284484607,-0.002952333597389445,0.1555639057383649,0.1675452251865371,0.011981319448172212,1.8216154317096147,1.397824982907752,-0.4237904488018627
pavia_university,10,2,Gravel,0.7895836635834053,0.8379240023629348,0.04834033877952959,0.10245310245310243,0.1520923520923521,0.04963924963924968,1.5632518215090379,1.6655291169906907,0.10227729548165287
pavia_university,10,3,Trees,0.5940450562748086,0.6681284664605445,0.07408341018573583,0.18324572930354796,0.16747700394218132,-0.015768725361366642,1.0049334790998041,1.3347680450264736,0.3298345659266695
pavia_university,10,4,Painted metal sheets,0.9129703730655763,0.9676235003750163,0.05465312730944005,0.02279245283018868,0.0007547169811320754,-0.022037735849056606,2.2845569393698058,3.1967548625834707,0.912197923213665
pavia_university,10,5,Bare Soil,0.9254245934682167,0.9134812965570575,-0.011943296911159251,0.04192453583549611,0.011100019964064683,-0.030824515871431424,2.166948322569671,2.484887460160318,0.31793913759064685
pavia_university,10,6,Bitumen,0.8637163376745646,0.9148751215273896,0.05115878385282502,0.003969465648854962,0.0006106870229007634,-0.003358778625954199,2.309075623907021,2.53685517016713,0.22777954626010866
pavia_university,10,7,Self-Blocking Bricks,0.6869402643820013,0.8455959049114435,0.15865564052944225,0.26521026761332606,0.04871654833424359,-0.21649371927908245,0.6831591869795473,1.8589926280864582,1.175833441106911
pavia_university,10,8,Shadows,0.728685950762547,0.8756851745498111,0.14699922378726404,0.2709816612729234,0.1738942826321467,-0.09708737864077668,0.9037617907075749,1.4576589965817095,0.5538972058741346
salinas,5,0,Brocoli_green_weeds_1,0.9994979667224033,0.9994487093073472,-4.925741505612535e-05,0.001003009027081244,0.00030090270812437313,-0.0007021063189568708,2.75569601178664,2.9686388891044566,0.21294287731781658
salinas,5,1,Brocoli_green_weeds_2,0.9908737715334576,0.9995145193151307,0.00864074778167312,0.0002155753166262463,0.0008084074373484237,0.0005928321207221774,2.804911967622715,2.9098866834369224,0.10497471581420736
salinas,5,2,Fallow,0.9351323761349051,0.9912622688056946,0.056129892670789494,0.09321774604793473,0.0009178990311065783,-0.09229984701682815,2.164729299571001,2.8431103899991372,0.6783810904281364
salinas,5,3,Fallow_rough_plow,0.8206672332618619,0.9233764398095572,0.10270920654769533,0.034082668600435094,0.013923132704858593,-0.0201595358955765,1.2115749110079401,1.9147477977858496,0.7031728867779095
salinas,5,4,Fallow_smooth,0.8304572112160384,0.9630428582315265,0.13258564701548803,0.1961697333834022,0.05722868944799099,-0.13894104393541123,1.1429996675460932,1.7100828643092256,0.5670831967631325
salinas,5,5,Stubble,0.9652565720130198,0.9890325925152338,0.023776020502213946,0.008975659229208925,0.004158215010141987,-0.004817444219066938,2.8360226691810086,3.0999406611459976,0.263917991964989
salinas,5,6,Celery,0.9199152553130248,0.9852613569396924,0.06534610162666765,0.11936026936026937,0.02452300785634119,-0.09483726150392818,2.3177581934135003,3.209218640985045,0.8914604475715446
salinas,5,7,Grapes_untrained,0.7743771036773328,0.7273575807235604,-0.04701952295377243,0.2416844349680171,0.3286425017768301,0.08695806680881299,0.12900718238021697,0.1480051581444008,0.018997975764183828
salinas,5,8,Soil_vinyard_develop,0.9741210177667462,0.995803100929462,0.021682083162715804,0.0,0.0,0.0,3.7843809460122415,3.4930812945578587,-0.29129965145438286
salinas,5,9,Corn_senesced_green_weeds,0.9373168747246096,0.9596867987243275,0.022369923999717933,0.10615997548268466,0.0706711615078149,-0.03548881397486976,2.3044522160396905,2.4570296316183566,0.1525774155786661
salinas,5,10,Lettuce_romaine_4wk,0.945526600463185,0.9423923928446893,-0.003134207618495699,0.0037986704653371326,0.004178537511870846,0.00037986704653371296,1.5181514279777137,2.7560672250002307,1.237915797022517
salinas,5,11,Lettuce_romaine_5wk,0.9536092699418154,0.9805797798779817,0.026970509936166343,0.07102510460251046,0.02217573221757322,-0.048849372384937244,1.4077691618571344,2.285920503348985,0.8781513414918507
salinas,5,12,Lettuce_romaine_6wk,0.82784621882196,0.9117396177113053,0.08389339888934533,0.19800221975582685,0.15205327413984462,-0.04594894561598223,0.47081702310554724,0.8801037536212528,0.4092867305157056
salinas,5,13,Lettuce_romaine_7wk,0.8969690750549674,0.9228876473394813,0.025918572284513886,0.04815165876777251,0.005308056872037915,-0.0428436018957346,0.7447682679193844,1.6098502390531568,0.8650819711337724
salinas,5,14,Vinyard_untrained,0.5906574124934434,0.6498669486437996,0.05920953615035618,0.3280022059837308,0.27238384116917136,-0.05561836481455945,0.11859472294593702,0.19691296972505934,0.07831824677912232
salinas,5,15,Vinyard_vertical_trellis,0.9846376248237811,0.9957129830870148,0.011075358263233692,0.00625,0.0012276785714285714,-0.005022321428571429,3.1180275148129764,3.291714618767479,0.1736871039545025
salinas,10,0,Brocoli_green_weeds_1,0.9996483799170178,0.9990947176371214,-0.0005536622798963942,0.00010055304172951231,0.0010055304172951233,0.000904977375565611,3.1971161017014587,3.009065078939847,-0.18805102276161145
salinas,10,1,Brocoli_green_weeds_2,0.9998920304999086,0.9995138125262958,-0.0003782179736128155,0.00021586616297895306,0.0007015650296815975,0.00048569886670264445,3.8830531701001405,3.292569977905514,-0.5904831921946263
salinas,10,2,Fallow,0.9934629505454738,0.9917770723741646,-0.001685878171309274,0.00010224948875255625,0.0,-0.00010224948875255625,3.229697046746216,2.908200827576144,-0.3214962191700721
salinas,10,3,Fallow_rough_plow,0.8759295184538672,0.9345327634596728,0.058603245005805604,0.0040756914119359534,0.000727802037845706,-0.0033478893740902472,2.3446788766552875,2.9721550524755336,0.6274761758202461
salinas,10,4,Fallow_smooth,0.935196080026284,0.9749108861820416,0.03971480615575762,0.10887885628291949,0.047253574115876606,-0.06162528216704288,1.6762041336473463,2.482103892310927,0.8058997586635805
salinas,10,5,Stubble,0.9855293242075802,0.9992380231831817,0.013708698975601452,0.00715917745620716,0.0007616146230007616,-0.006397562833206398,4.5138025190656155,3.9124171988170864,-0.6013853202485291
salinas,10,6,Celery,0.9859193449614894,0.9969335588442148,0.011014213882725388,0.025681371171677438,0.005788142736723799,-0.019893228434953638,3.941979054967759,3.5762144994236644,-0.3657645555440947
salinas,10,7,Grapes_untrained,0.8796215364026665,0.8066536718960726,-0.07296786450659387,0.1333214825348858,0.1833081503866323,0.04998666785174652,0.17038568097968249,0.36802250252767266,0.19763682154799017
salinas,10,8,Soil_vinyard_develop,0.9965433232065667,0.9972306759795189,0.0006873527729521767,0.0,0.0,0.0,4.915295711710576,3.8979192757045453,-1.017376436006031
salinas,10,9,Corn_senesced_green_weeds,0.9735861662867379,0.9739668652380228,0.00038069895128489684,0.043953345610804176,0.04468999386126458,0.0007366482504604019,3.190851372174411,2.787192596745791,-0.40365877542862005
salinas,10,10,Lettuce_romaine_4wk,0.9698837200504983,0.9727290839249875,0.002845363874489193,0.0,0.004007633587786259,0.004007633587786259,2.1428313358398494,2.8050348461470533,0.6622035103072039
salinas,10,11,Lettuce_romaine_5wk,0.9881230150063136,0.9873808174956394,-0.0007421975106741696,0.019716832721552176,0.015102254850550606,-0.004614577871001569,1.9972485775722841,2.6305232954387834,0.6332747178664992
salinas,10,12,Lettuce_romaine_6wk,0.933176269383128,0.9657527003463622,0.03257643096323415,0.09665178571428572,0.05066964285714286,-0.04598214285714286,1.0727662929067654,1.4774642840826084,0.40469799117584304
salinas,10,13,Lettuce_romaine_7wk,0.9399174191456346,0.9615998611554828,0.021682442009848146,0.01504761904761905,0.002666666666666667,-0.012380952380952381,1.0531175036472933,2.0693242043767657,1.0162067007294724
salinas,10,14,Vinyard_untrained,0.8168404602302235,0.6378468203151958,-0.1789936399150277,0.17044701986754968,0.35110375275938194,0.18065673289183226,0.12646095708555338,0.3133745998390857,0.18691364275353234
salinas,10,15,Vinyard_vertical_trellis,0.9974153126722994,0.9949850087430026,-0.002430303929296884,0.004700615556799104,0.0021264689423615,-0.0025741466144376043,3.699835917629379,3.6776550191053814,-0.022180898523997516
