dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,residual_scale_final,mean_train_guard
pavia_university,spectral_qnn_confguardb_gated_supcon,10,0,0.8913982533571227,0.8939097931274702,0.8586457122654398,0.8500740462863071,0.8939019169777356,11,11.23439908027649,67.37779831886292,1477,90,90,42596,1.0,0.36622669564353094
pavia_university,spectral_qnn_confguardb_gated_supcon,10,1,0.8157573481078035,0.8512406877107165,0.7650421518614964,0.8139396551721236,0.8214167286812649,17,14.597168684005737,73.68762612342834,1477,90,90,42596,1.0,0.4655109273062812
pavia_university,spectral_qnn_confguardb_gated_supcon,10,2,0.8697765048361349,0.921922976308357,0.8342604844710994,0.8769182370881367,0.8833183214640147,13,13.0517897605896,71.09530591964722,1477,90,90,42596,1.0,0.4081928782992893
pavia_university,spectral_qnn_confguardb_gated_supcon,10,3,0.8454549722978684,0.888188673231795,0.8019809205031226,0.8594931805955901,0.8476430106304917,18,16.510414123535156,68.2968692779541,1477,90,90,42596,1.0,0.16710017853313022
pavia_university,spectral_qnn_confguardb_gated_supcon,10,4,0.8368626162080947,0.8792871016012369,0.7927783961320714,0.8424241675971047,0.8511546593686238,14,12.869389057159424,67.96150994300842,1477,90,90,42596,1.0,0.24283001356654696
salinas,spectral_qnn_confguardb_gated_supcon,10,0,0.8492631344198925,0.9352609835817587,0.8319173466468632,0.9305934914323806,0.8471904465797223,8,18.98181915283203,91.69958925247192,2212,160,160,53809,1.0,0.6645114243030548
salinas,spectral_qnn_confguardb_gated_supcon,10,1,0.947666747198424,0.9747044509802705,0.9418090459686448,0.9688839612645062,0.9481000449693687,10,21.501503944396973,94.56005573272705,2212,160,160,53809,1.0,0.3709950655698776
salinas,spectral_qnn_confguardb_gated_supcon,10,2,0.9295471017859466,0.9650153107370252,0.9213877636966169,0.9623649195135133,0.9279179167578168,14,26.13383197784424,96.14198875427246,2212,160,160,53809,1.0,0.2058218687772751
salinas,spectral_qnn_confguardb_gated_supcon,10,3,0.9443029976398001,0.9708661543944708,0.938048385829316,0.9649140960358518,0.9448701443847027,23,36.394935131073,95.58882808685303,2212,160,160,53809,1.0,0.18575152456760408
salinas,spectral_qnn_confguardb_gated_supcon,10,4,0.9283391254251148,0.9651619213777585,0.9204633014870309,0.9577840689363724,0.9291358216582332,10,19.21929407119751,85.2208662033081,2212,160,160,53809,1.0,0.4534113585948944
