class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.2426470588235294,1.0,0.3905325443786982,33
1,Corn-notill,0.7539353769676885,0.6440198159943383,0.6946564885496184,1413
2,Corn-mintill,0.7865853658536586,0.47484662576687114,0.5921958684009181,815
3,Corn,0.8942307692307693,0.8378378378378378,0.8651162790697674,222
4,Grass-pasture,0.9969879518072289,0.7072649572649573,0.8275,468
5,Grass-trees,0.8628005657708628,0.8531468531468531,0.8579465541490858,715
6,Grass-pasture-mowed,0.25675675675675674,1.0,0.40860215053763443,19
7,Hay-windrowed,0.7516233766233766,1.0,0.8582020389249305,463
8,Oats,0.1111111111111111,1.0,0.2,12
9,Soybean-notill,0.7865384615384615,0.8547544409613375,0.8192288432648973,957
10,Soybean-mintill,0.9430992736077481,0.6385245901639345,0.761485826001955,2440
11,Soybean-clean,0.2804878048780488,0.596885813148789,0.38163716814159293,578
12,Wheat,0.5753846153846154,0.9842105263157894,0.7262135922330097,190
13,Woods,0.927743086529884,0.832,0.8772669759595108,1250
14,Buildings-Grass-Trees-Drives,0.5663865546218487,0.9083557951482479,0.6977225672877847,371
15,Stone-Steel-Towers,0.430939226519337,1.0,0.6023166023166023,78
