0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1329,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,2876,0,0,0,0,9,0,0,0,0,0,0,1,0,13
0,0,518,0,693,0,0,0,262,7,139,342,0,0,0,0
0,0,0,1375,4,0,0,0,0,0,0,0,0,0,0,0
0,0,9,102,2537,2,0,0,0,0,4,0,9,0,0,0
0,2,0,0,1,3931,0,0,0,0,0,2,8,0,0,0
0,0,0,0,0,0,3516,0,0,0,0,0,2,0,1,45
0,0,0,2,0,1,82,742,0,263,31,0,47,15,7946,2127
0,0,0,0,0,0,0,0,2637,13,3538,0,0,0,0,0
0,0,31,2,12,0,0,161,117,1670,1083,95,60,3,24,5
0,0,0,0,3,0,0,0,15,1,993,40,1,0,0,0
0,0,7,0,0,0,0,0,44,0,3,1851,7,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,870,23,0,0
2,0,0,0,0,0,15,9,0,22,3,0,31,958,7,8
0,0,0,11,0,0,20,311,0,83,0,9,26,1,6401,391
0,0,0,12,2,0,141,0,0,4,0,0,7,3,109,1514
