dataset,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,5,0,1,2.7458577156066895,0.1,2.7680574893951415,0.0625,0.0625,0.0,0.007352941176470588,0.007352941176470588
salinas,5,0,2,2.6808146953582765,0.0875,2.756337213516235,0.0875,0.08750000000000001,0.026666666666666616,0.061156235069278544,0.061156235069278544
salinas,5,0,3,2.613130569458008,0.175,2.742106580734253,0.1375,0.1375,0.07999999999999996,0.10006167579969705,0.10006167579969705
salinas,5,0,4,2.536282110214233,0.2125,2.7233017444610597,0.2,0.19999999999999998,0.1466666666666666,0.1534546898766937,0.15345468987669367
salinas,5,0,5,2.5228286266326903,0.275,2.7023390769958495,0.26875,0.26875,0.21999999999999997,0.18824996842238223,0.18824996842238223
salinas,5,0,6,2.4534707069396973,0.35,2.675200271606445,0.26875,0.26875,0.21999999999999997,0.16689755612389884,0.16689755612389884
salinas,5,0,7,2.4226005554199217,0.425,2.6386060237884523,0.3375,0.3375,0.29333333333333333,0.24167635221014305,0.2416763522101431
salinas,5,0,8,2.404464912414551,0.4125,2.5838757038116453,0.41875,0.41874999999999996,0.38,0.3182681537772264,0.3182681537772264
salinas,5,0,9,2.400120210647583,0.4125,2.518307018280029,0.49375,0.4937499999999999,0.45999999999999996,0.40394787682295513,0.4039478768229551
salinas,5,0,10,2.342480278015137,0.525,2.4509989738464357,0.575,0.575,0.5466666666666666,0.48989906211732226,0.48989906211732226
salinas,5,0,11,2.339879560470581,0.4,2.3821709632873533,0.64375,0.64375,0.62,0.5900528149790651,0.590052814979065
salinas,5,0,12,2.361825942993164,0.3875,2.3208565711975098,0.6875,0.6875,0.6666666666666667,0.6329507412030295,0.6329507412030295
salinas,5,0,13,2.2402334690093992,0.5375,2.269085693359375,0.71875,0.71875,0.7,0.671207199233515,0.6712071992335149
salinas,5,0,14,2.190221166610718,0.5125,2.2239216327667237,0.725,0.7250000000000001,0.7066666666666667,0.6725150905551514,0.6725150905551514
salinas,5,0,15,2.148309278488159,0.5125,2.1649636030197144,0.74375,0.74375,0.7266666666666667,0.7095037146761285,0.7095037146761285
salinas,5,0,16,2.1626752853393554,0.475,2.1135685205459596,0.75625,0.75625,0.74,0.7211585046325488,0.7211585046325488
salinas,5,0,17,2.097722959518433,0.5375,2.075972867012024,0.7625,0.7625000000000001,0.7466666666666666,0.7325952152362337,0.7325952152362337
salinas,5,0,18,2.115992307662964,0.55,2.034628915786743,0.76875,0.76875,0.7533333333333333,0.7376983669173802,0.7376983669173802
salinas,5,0,19,2.1546987533569335,0.4625,1.9968746423721313,0.76875,0.76875,0.7533333333333333,0.738424838981894,0.7384248389818941
salinas,5,0,20,2.0380886077880858,0.525,1.9538537502288817,0.74375,0.74375,0.7266666666666667,0.7072390251782463,0.7072390251782463
salinas,5,0,21,2.0365362644195555,0.5625,1.9036529779434204,0.73125,0.73125,0.7133333333333334,0.6877798028121304,0.6877798028121304
salinas,5,0,22,2.0251075267791747,0.5125,1.857312297821045,0.73125,0.73125,0.7133333333333334,0.6853681627280765,0.6853681627280765
salinas,5,0,23,1.8673717975616455,0.5625,1.8282984972000123,0.75,0.75,0.7333333333333334,0.7114549791374736,0.7114549791374736
salinas,5,0,24,1.9517357349395752,0.55,1.8069876670837401,0.75,0.75,0.7333333333333334,0.7117768555369361,0.7117768555369361
salinas,5,0,25,1.9231108665466308,0.575,1.7809874773025514,0.75,0.75,0.7333333333333334,0.7104153138528138,0.7104153138528139
salinas,5,0,26,1.9034531831741333,0.5875,1.7565251588821411,0.75,0.75,0.7333333333333334,0.714988317987529,0.714988317987529
salinas,5,0,27,1.8251716136932372,0.6,1.7217391014099122,0.725,0.7250000000000001,0.7066666666666667,0.6727530559146001,0.6727530559146
salinas,5,0,28,1.7662240743637085,0.625,1.6945255756378175,0.725,0.7250000000000001,0.7066666666666667,0.6714355328579467,0.6714355328579467
salinas,5,0,29,1.747899103164673,0.6125,1.6656225204467774,0.7375,0.7375,0.72,0.6873803968175165,0.6873803968175165
salinas,5,0,30,1.6453807830810547,0.6125,1.624884343147278,0.7375,0.7375,0.72,0.6876509595880793,0.6876509595880793
salinas,5,0,31,1.6403221607208252,0.65,1.5981843233108521,0.7625,0.7625,0.7466666666666666,0.7088481322134761,0.708848132213476
salinas,5,0,32,1.6087259769439697,0.675,1.5634153127670287,0.75,0.75,0.7333333333333334,0.6953237486933628,0.6953237486933628
salinas,5,0,33,1.7071767091751098,0.6375,1.5326027274131775,0.75625,0.75625,0.74,0.6994087160136242,0.6994087160136242
salinas,5,0,34,1.6367671489715576,0.675,1.499955666065216,0.75,0.75,0.7333333333333334,0.6866082980407925,0.6866082980407924
salinas,5,0,35,1.5603942155838013,0.65,1.4529856204986573,0.75,0.75,0.7333333333333334,0.6866082980407925,0.6866082980407924
salinas,5,0,36,1.5394409418106079,0.6,1.4188775181770326,0.75,0.75,0.7333333333333334,0.6866082980407925,0.6866082980407924
salinas,5,0,37,1.6276920557022094,0.725,1.3831885576248169,0.75,0.75,0.7333333333333334,0.6866082980407925,0.6866082980407924
salinas,5,0,38,1.597480010986328,0.55,1.3411855459213258,0.74375,0.74375,0.7266666666666667,0.6825233307205311,0.682523330720531
salinas,5,0,39,1.3713510751724243,0.7125,1.3197404623031617,0.75,0.75,0.7333333333333334,0.6953237486933628,0.6953237486933628
