epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.2678175270557404,0.33463414634146343,0.23260503578266342,0.2628255489131408,0.1814388535634436
2,1.4301494657993317,0.5697560975609756,0.35419971246785487,0.48714821391090257,0.3476452991662792
3,1.155914455652237,0.5941463414634146,0.395948302019973,0.5252701250841967,0.3699148710952546
4,0.9625016003847122,0.6829268292682927,0.5077341949113926,0.6341187492654917,0.5062996323537169
5,0.8592763841152191,0.6956097560975609,0.5398645139264863,0.6511479501396826,0.5382272447063046
6,0.7661375999450684,0.7180487804878048,0.5767933359166921,0.6784256126169843,0.574481753372779
7,0.7317704409360886,0.7326829268292683,0.5974646595777284,0.697321100442837,0.589280683801134
8,0.6955105662345886,0.7014634146341463,0.5613167459960797,0.6597742892845986,0.554915286696219
9,0.6611730307340622,0.7326829268292683,0.5863554646748148,0.6926493006499397,0.5786735267709646
10,0.6314747184514999,0.7336585365853658,0.6006211916223494,0.6976946686444038,0.5885398225169576
11,0.5953014343976974,0.7521951219512195,0.6175432393836893,0.7198676109500722,0.6065799071339706
12,0.5885148644447327,0.7551219512195122,0.6069337140666653,0.7181934587802823,0.6017884447345615
13,0.5534988790750504,0.7502439024390244,0.6429646190409872,0.7177644882330163,0.636346268759912
14,0.5540326461195946,0.7531707317073171,0.6348856236353411,0.7191756493640098,0.6236748344335946
15,0.5651998519897461,0.7639024390243903,0.6155832560144394,0.7316748121561424,0.6128111069820041
16,0.5423479080200195,0.7795121951219512,0.6509528656988134,0.7468162125060659,0.6394268126410996
17,0.5068299770355225,0.7795121951219512,0.6639381982358896,0.7496666183974774,0.6617207791063984
18,0.4627850577235222,0.8097560975609757,0.6613571680983303,0.7821570997439835,0.6613380913023634
19,0.4341653287410736,0.7863414634146342,0.6763701590319999,0.7577015241138121,0.666003946058046
20,0.43149885535240173,0.8117073170731708,0.6697508321456092,0.7840927694406549,0.6652785817268393
21,0.41933632642030716,0.8,0.6742257364655367,0.7728108207462508,0.6671800631404438
22,0.3964296504855156,0.8214634146341463,0.6828978176547574,0.7951495520210382,0.6906520470488098
23,0.38542117923498154,0.8029268292682927,0.6722972675246879,0.7749057713486194,0.6625262579926728
24,0.40994857996702194,0.7941463414634147,0.6564471164152543,0.7655486935660989,0.6577888649928056
25,0.3981040269136429,0.8087804878048781,0.6716427411766104,0.782342553168438,0.6696137314446555
26,0.37485838681459427,0.8146341463414634,0.6897691818901972,0.7876613528397772,0.6880709126329809
27,0.3536929786205292,0.817560975609756,0.6842407054709682,0.7920344332606029,0.6748014974921235
28,0.3362882435321808,0.8195121951219512,0.6812698618432527,0.7927654514735101,0.6975495560270084
29,0.3452775403857231,0.8117073170731708,0.6918476251774157,0.7848224356805897,0.6873015891747387
30,0.3516422286629677,0.8195121951219512,0.6803258038929272,0.793343395979664,0.6759435892964385
