dataset_id,model,OA,AA,Kappa,Macro-F1,Weighted-F1
indian_pines,svm_rbf,0.6607317073170732,0.561136198351059,0.6120131560133701,0.575650828523283,0.6553958593842388
indian_pines,random_forest,0.6329268292682927,0.4735971423498265,0.568056253139126,0.474563456999558,0.5920990811102125
indian_pines,knn,0.6070731707317073,0.4774039934918158,0.5448107636255828,0.4793084211551734,0.5804989546219202
pavia_university,svm_rbf,0.9422009233826194,0.9208370152080495,0.9230354657505511,0.9284784091757644,0.9417765116204294
pavia_university,random_forest,0.884869382268716,0.8205327647689091,0.8432817603243501,0.8529200550234788,0.8775049387409407
pavia_university,knn,0.8593302553912687,0.8284891692601095,0.8095387179229228,0.8396446938178765,0.854569716494379
salinas,svm_rbf,0.9207694439312766,0.9561075279269516,0.9115637362673521,0.9579363099440623,0.9188596398684565
salinas,random_forest,0.89966284869758,0.9371955948333894,0.8878709841801028,0.9397436461179245,0.89566288306577
salinas,knn,0.8742148531313505,0.9285764125208817,0.8598360049282163,0.9277324357510119,0.8727996138616932
