epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,7.306554103357405,0.4793388429752066,0.43273809523809526,0.4354402047349061,0.37984042748149444
2,3.1184672090961256,0.696969696969697,0.655952380952381,0.6721109550907791,0.5922745493264028
3,2.42150900186586,0.7162534435261708,0.646875,0.6927697478162979,0.6393591334372406
4,3.0018935331628342,0.5702479338842975,0.4814484126984127,0.5340103026612465,0.4523196015271448
5,2.834055296974077,0.699724517906336,0.6041666666666667,0.6754675196850393,0.5912081806709284
6,2.617821767638866,0.7052341597796143,0.6810267857142858,0.6815789473684211,0.6378980606462832
7,2.0131618280384496,0.6473829201101928,0.5584325396825397,0.6171422450375326,0.5699289056607597
8,1.9136768119722687,0.6721763085399449,0.6477678571428571,0.6457578192911384,0.620312363879139
9,2.73923942865419,0.6446280991735537,0.6022321428571429,0.6168630338733432,0.5394808316647325
10,2.5370205821412983,0.7052341597796143,0.6939980158730159,0.6816076595814445,0.6774393922187503
