dataset,shot,model,samples,mean_margin,median_margin,std_margin,negative_margin_rate,low_margin_rate,safe_margin_rate
indian_pines,5,hybridsn_small,50120,0.24972619517043448,0.3856174020362597,0.47635100324800517,0.27958898643256186,0.01931364724660814,0.70109736632083
indian_pines,5,spectral_qnn_gated_proto,50120,0.23392017057453074,0.3480860335710916,0.4221949761284667,0.27182761372705505,0.02318435754189944,0.7049880287310455
indian_pines,10,hybridsn_small,49735,0.37227157142626255,0.4682292736512222,0.4159905354521308,0.19611943299487283,0.023685533326631144,0.7801950336784961
indian_pines,10,spectral_qnn_gated_proto,49735,0.3524245764193127,0.4274547628774997,0.3771035069769756,0.1868704131899065,0.027586206896551724,0.7855433799135417
pavia_university,5,hybridsn_small,213205,0.3734255591224575,0.513799824233429,0.5322050938442926,0.24063694566262517,0.019408550456133766,0.7399545038812411
pavia_university,5,spectral_qnn_gated_proto,213205,0.37598969205172145,0.47743894142968873,0.4851092913997344,0.21978846649937853,0.02037944701109261,0.7598320864895288
pavia_university,10,hybridsn_small,212980,0.4956040570006716,0.6479068815430182,0.48424035870884297,0.15126302939243122,0.015855948915391115,0.8328810216921777
pavia_university,10,spectral_qnn_gated_proto,212980,0.48989226750521464,0.6091853299043211,0.4396272855757549,0.13683913982533571,0.01238144426706733,0.850779415907597
salinas,5,hybridsn_small,269445,0.4916732508894585,0.537497711236101,0.39514818630347276,0.11974243352075563,0.04678134684258383,0.8334762196366605
salinas,5,spectral_qnn_gated_proto,269445,0.48144193951278735,0.5332693298506916,0.3841502355646698,0.12797416912542448,0.0426098090519401,0.8294160218226354
salinas,10,hybridsn_small,269045,0.5673711224503544,0.692326716681575,0.3959976219503994,0.057109405489787955,0.08508242115631214,0.8578081733538999
salinas,10,spectral_qnn_gated_proto,269045,0.5569971706564727,0.672612016093351,0.3915328815165079,0.07180583173818506,0.07877120927725845,0.8494229589845564
