dataset,shot,seed,metric,hybridsn_value,qnn_value,delta,qnn_better
indian_pines,5,0,mean_inter_distance,1.1353621523158617,1.1458726867275728,0.010510534411711125,True
indian_pines,5,0,separation_ratio,2.706189278757214,2.405241472928135,-0.3009478058290789,False
indian_pines,5,0,mean_margin,0.25999894741985397,0.23819678999439786,-0.021802157425456103,False
indian_pines,5,0,median_margin,0.44247555964680696,0.3949618348718733,-0.04751372477493365,False
indian_pines,5,0,safe_margin_rate,0.7161811652035116,0.7195730247406225,0.003391859537110853,True
indian_pines,5,0,mean_intra_distance,0.41954277227691317,0.4764065062176856,0.05686373394077243,False
indian_pines,5,0,negative_margin_rate,0.2666600159616919,0.2569832402234637,-0.009676775738228227,True
indian_pines,5,0,low_margin_rate,0.017158818834796488,0.023443735035913807,0.006284916201117319,False
indian_pines,5,1,mean_inter_distance,1.1530884811558628,1.1603811429065474,0.007292661750684548,True
indian_pines,5,1,separation_ratio,2.629205922911134,2.325423066875053,-0.30378285603608113,False
indian_pines,5,1,mean_margin,0.2865219672953767,0.2577507141649577,-0.028771253130419006,False
indian_pines,5,1,median_margin,0.4064269540021314,0.36608080511550467,-0.04034614888662674,False
indian_pines,5,1,safe_margin_rate,0.7205706304868316,0.7149840383080607,-0.005586592178770888,False
indian_pines,5,1,mean_intra_distance,0.43856910221742135,0.4989978638450032,0.06042876162758187,False
indian_pines,5,1,negative_margin_rate,0.25927773343974464,0.25987629688747005,0.0005985634477254087,False
indian_pines,5,1,low_margin_rate,0.02015163607342378,0.025139664804469275,0.0049880287310454935,False
indian_pines,5,2,mean_inter_distance,1.1147815213897545,1.1304606689989156,0.015679147609161115,True
indian_pines,5,2,separation_ratio,2.5272342348495607,2.280478545421341,-0.24675568942821968,False
indian_pines,5,2,mean_margin,0.24997411886459936,0.2364729719908198,-0.013501146873779568,False
indian_pines,5,2,median_margin,0.40168755005263734,0.3587865606869592,-0.042900989365678155,False
indian_pines,5,2,safe_margin_rate,0.6727853152434158,0.6770750199521149,0.00428970470869916,True
indian_pines,5,2,mean_intra_distance,0.4411073204127097,0.495712038716002,0.05460471830329228,False
indian_pines,5,2,negative_margin_rate,0.30925778132482046,0.2980845969672785,-0.011173184357541943,True
indian_pines,5,2,low_margin_rate,0.017956903431763767,0.024840383080606543,0.006883479648842776,False
indian_pines,5,3,mean_inter_distance,1.1073811184294997,1.1123454377839535,0.004964319354453739,True
indian_pines,5,3,separation_ratio,2.442155361598837,2.2109770774631765,-0.23117828413566066,False
indian_pines,5,3,mean_margin,0.19861495927235515,0.18742621457210007,-0.011188744700255077,False
indian_pines,5,3,median_margin,0.3380900101901192,0.300416014071491,-0.037673996118628206,False
indian_pines,5,3,safe_margin_rate,0.6911412609736632,0.6940343176376695,0.0028930566640062993,True
indian_pines,5,3,mean_intra_distance,0.45344417306215784,0.5031012981193964,0.04965712505723857,False
indian_pines,5,3,negative_margin_rate,0.29130087789305664,0.28621308858739025,-0.00508778930566639,True
indian_pines,5,3,low_margin_rate,0.017557861133280128,0.019752593774940142,0.0021947326416600146,False
indian_pines,5,4,mean_inter_distance,1.1396360820519174,1.1534435831404188,0.013807501088501484,True
indian_pines,5,4,separation_ratio,2.6399436841315778,2.403152360710996,-0.23679132342058162,False
indian_pines,5,4,mean_margin,0.2535209829999872,0.24975416215037816,-0.003766820849609054,False
indian_pines,5,4,median_margin,0.36213036490448985,0.3363730948255887,-0.025757270078901162,False
indian_pines,5,4,safe_margin_rate,0.7048084596967279,0.7192737430167597,0.01446528332003183,True
indian_pines,5,4,mean_intra_distance,0.4316895428118976,0.4799710588467064,0.04828151603480879,False
indian_pines,5,4,negative_margin_rate,0.27144852354349563,0.2579808459696728,-0.013467677573822834,True
indian_pines,5,4,low_margin_rate,0.023743016759776536,0.02274541101356744,-0.0009976057462090966,True
indian_pines,10,0,mean_inter_distance,1.1195574969885878,1.1182352084626863,-0.0013222885259014383,False
indian_pines,10,0,separation_ratio,2.9290325122884457,2.7260330188860618,-0.202999493402384,False
indian_pines,10,0,mean_margin,0.3695244156157302,0.3526521241101849,-0.01687229150554531,False
indian_pines,10,0,median_margin,0.511656905751386,0.4737964999613271,-0.03786040579005889,False
indian_pines,10,0,safe_margin_rate,0.756811098823766,0.7578164270634362,0.0010053282396702556,True
indian_pines,10,0,mean_intra_distance,0.3822277466336078,0.4102060395877488,0.027978292954141004,False
