dataset_id,model,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,device
indian_pines,cnn1d,0.13975609756097562,0.10571636466291597,0.02290337740646753,0.020305702051497374,0.039864540580031756,1.5920162200927734,cpu
indian_pines,cnn2d,0.7576829268292683,0.5993210546478902,0.720599432487639,0.60954295901424,0.7450510351900312,4.419657945632935,cpu
indian_pines,cnn3d,0.27,0.12107002412345924,0.10480826068665106,0.044781129457901137,0.12467408721803151,9.715711116790771,cpu
indian_pines,hybridsn,0.81,0.6869055181123002,0.7826937615116932,0.6996856542661678,0.8047530426623332,90.39498591423035,cpu
pavia_university,cnn1d,0.7318683887557711,0.5611577843742861,0.6226122166560606,0.5583845809004415,0.6774476095399926,8.628732919692993,cpu
pavia_university,cnn2d,0.9817953363333528,0.961118447904339,0.9758427601539186,0.969280299718507,0.9816457679656749,18.742158889770508,cpu
pavia_university,cnn3d,0.787037578166092,0.6249516117276253,0.7042812096828347,0.6151563290094387,0.7383838109257632,75.59158611297607,cpu
pavia_university,hybridsn,0.9908538367132254,0.9843863118883345,0.9878797763167845,0.9833871376049065,0.9908708676194545,374.26893067359924,cpu
salinas,cnn1d,0.6754803251431738,0.5553198635791822,0.6294629380609023,0.5377574490592193,0.5908456025062185,11.949135065078735,cpu
salinas,cnn2d,0.9680629964899317,0.9778603116571589,0.9644434542636559,0.9771975036114939,0.9680394502044211,20.2253839969635,cpu
salinas,cnn3d,0.8888093478662479,0.8971567140712947,0.8757641577543439,0.9080755879578668,0.8871474153748635,95.04181909561157,cpu
salinas,hybridsn,0.9875531128764087,0.9927688818741311,0.9861414031998419,0.9929997886531869,0.9875582859916008,447.50560903549194,cpu
