dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,1,2.721805953979492,2.62714262008667,0.4733168035745621,0.1375,2.335062539577484,0.23125,0.23125,0.18000000000000005,0.17048515067309195,0.17048515067309195
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,2,2.1783034324646,2.0999037504196165,0.3919984310865402,0.35,1.8572551131248474,0.475,0.475,0.43999999999999995,0.39589514614716226,0.3958951461471623
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,3,1.7391292572021484,1.6500301718711854,0.44549539089202883,0.66875,1.4439696431159974,0.7875,0.7875,0.7733333333333333,0.7468551185656449,0.7468551185656448
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,4,1.3667087078094482,1.2604899168014527,0.5310940265655517,0.84375,1.1093614161014558,0.85,0.8500000000000001,0.84,0.8269318597004018,0.826931859700402
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,5,1.0479381501674652,0.9550594389438629,0.4643935948610306,0.95625,0.8451352834701538,0.95,0.95,0.9466666666666667,0.9501906528508359,0.9501906528508359
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,6,0.8222835600376129,0.7199913084506988,0.5114612966775894,0.975,0.6506262362003327,0.93125,0.9312499999999999,0.9266666666666666,0.922090098434492,0.9220900984344921
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,7,0.6240091264247895,0.549400782585144,0.37304172441363337,0.96875,0.5109512060880661,0.96875,0.96875,0.9666666666666667,0.968192151695988,0.968192151695988
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,8,0.49810457825660703,0.43034406900405886,0.33880254104733465,0.99375,0.4129566103219986,0.975,0.975,0.9733333333333334,0.9747474747474748,0.9747474747474747
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,9,0.44641211032867434,0.344885978102684,0.5076306864619256,1.0,0.3452559009194374,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133364
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,10,0.38100863695144654,0.28562074452638625,0.47693946212530136,0.99375,0.2947388976812363,0.9875,0.9875,0.9866666666666667,0.9873737373737375,0.9873737373737373
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,11,0.31144597232341764,0.24256837815046312,0.34438795447349546,0.99375,0.25828146412968633,0.9875,0.9875,0.9866666666666667,0.9873737373737375,0.9873737373737373
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,12,0.2823134079575539,0.20900484621524812,0.36654282063245774,1.0,0.23032574281096457,0.9875,0.9875,0.9866666666666667,0.9873737373737375,0.9873737373737373
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,13,0.26883784830570223,0.1844274714589119,0.42205188125371934,1.0,0.2084466375410557,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,14,0.2723487660288811,0.16549874991178512,0.5342500701546669,0.99375,0.19035988301038742,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,15,0.23996905237436295,0.14929687604308128,0.4533608615398407,0.99375,0.17595922574400902,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,16,0.2042088106274605,0.1355671502649784,0.3432082772254944,1.0,0.16439191289246083,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,17,0.21009396016597748,0.12471540197730065,0.42689278721809387,1.0,0.1539187002927065,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,18,0.20856486409902572,0.11527764983475208,0.46643606200814247,1.0,0.14451689943671225,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,19,0.17062971219420434,0.10673320442438125,0.31948253586888314,1.0,0.13625490963459014,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,20,0.19181120544672012,0.10026848129928112,0.45771361589431764,0.9875,0.12912485376000404,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,21,0.1736915111541748,0.09323370940983296,0.4022889994084835,0.99375,0.12292364574968814,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,22,0.1830805554986,0.08857311718165875,0.47253718674182893,0.99375,0.11801548525691033,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,23,0.14984494373202323,0.08333752043545246,0.3325371012091637,1.0,0.11292650252580642,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
