class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.31521739130434784,1.0,0.4793388429752066,29
1,Corn-notill,0.8498263888888888,0.6953125,0.76484375,1408
2,Corn-mintill,0.7080378250591016,0.7395061728395061,0.7234299516908212,810
3,Corn,0.6426426426426426,0.9861751152073732,0.7781818181818182,217
4,Grass-pasture,0.8924485125858124,0.8423326133909287,0.8666666666666667,463
5,Grass-trees,0.8394904458598726,0.928169014084507,0.8816053511705686,710
6,Grass-pasture-mowed,0.3409090909090909,1.0,0.5084745762711864,15
7,Hay-windrowed,0.8528864059590316,1.0,0.9206030150753769,458
8,Oats,0.10526315789473684,1.0,0.19047619047619047,8
9,Soybean-notill,0.8569604086845466,0.7048319327731093,0.7734870317002882,952
10,Soybean-mintill,0.936493327197423,0.8357289527720739,0.8832465277777778,2435
11,Soybean-clean,0.75390625,0.6736474694589878,0.7115207373271889,573
12,Wheat,0.6466431095406361,0.9891891891891892,0.782051282051282,185
13,Woods,0.9729501267962807,0.9244979919678715,0.9481054365733114,1245
14,Buildings-Grass-Trees-Drives,0.6594594594594595,1.0,0.7947882736156352,366
15,Stone-Steel-Towers,0.46153846153846156,0.9863013698630136,0.62882096069869,73
