shot,seed,epoch,train_loss,train_ce_loss,train_proto_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
5,0,1,2.6352709770202636,2.628736209869385,0.032673900574445726,0.0875,2.617808323893054,0.22758620689655173,0.2557291666666667,0.18029477084595213,0.17130781703362347,0.16387332191559112
5,0,2,2.3245965003967286,2.31833963394165,0.03128439337015152,0.4,2.3801689805655646,0.3103448275862069,0.375,0.26752879369569627,0.25756608422939065,0.22800395501174145
5,0,3,2.0433786392211912,2.037408185005188,0.029852446168661118,0.5625,2.1681419405443916,0.43448275862068964,0.48749999999999993,0.39891815378393414,0.38433636553841155,0.36623192390014864
5,0,4,1.7883068323135376,1.7825689315795898,0.028689439967274667,0.675,1.9759402061330862,0.4896551724137931,0.5375,0.4568738611054869,0.4486766159032783,0.4346316681231576
5,0,5,1.5515904188156129,1.5460582017898559,0.027661292627453805,0.8125,1.7964489936828614,0.5655172413793104,0.60625,0.5370933414411675,0.5318355221898854,0.5229449440256208
5,0,6,1.3351076602935792,1.3297592401504517,0.026742117293179036,0.9125,1.6334378694665843,0.6275862068965518,0.6625,0.6027598802699001,0.6168138952567462,0.6129150302167605
5,0,7,1.1434005498886108,1.138221025466919,0.025897588208317758,0.975,1.4884356860456796,0.7034482758620689,0.73125,0.6832291825433114,0.7052203910220214,0.7034450819702931
5,0,8,0.9667044520378113,0.9617170333862305,0.024937133491039275,0.975,1.3615522433971536,0.7517241379310344,0.7749999999999999,0.7345807698174607,0.7518593623248944,0.7484118634083126
5,0,9,0.8177783489227295,0.8129423141479493,0.024180229194462298,0.9875,1.2478947491481387,0.7655172413793103,0.7875,0.7493262826053796,0.7625218023458871,0.7601773144659595
5,0,10,0.6893451690673829,0.6846624970436096,0.023413369059562684,1.0,1.1491395769448116,0.7793103448275862,0.8,0.7639997965515488,0.7794659703639715,0.7742766263020068
5,0,11,0.5759356260299683,0.571406239271164,0.022646938823163508,1.0,1.0688367432561414,0.7862068965517242,0.80625,0.7712468193384224,0.791133159169318,0.7815952101178683
5,0,12,0.4852656424045563,0.4808837890625,0.021909248456358908,1.0,1.0028567388139922,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,13,0.4143955588340759,0.41015216112136843,0.02121702879667282,1.0,0.9472740321323789,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,14,0.35414098501205443,0.35002006888389586,0.02060456108301878,1.0,0.9025211786401683,0.8068965517241379,0.8250000000000001,0.7933842239185751,0.8089712180458748,0.8012785854299308
5,0,15,0.30560946464538574,0.3015967130661011,0.02006375528872013,1.0,0.8676522624903712,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,16,0.26548704504966736,0.26160932779312135,0.019388579390943052,1.0,0.8394064257884848,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,17,0.23388080596923827,0.23012582659721376,0.018774901703000068,1.0,0.8178222313009459,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,18,0.20687760710716246,0.20325481593608857,0.018113953433930872,1.0,0.8004073200554683,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,19,0.1844021648168564,0.1808645248413086,0.01768820993602276,1.0,0.7862344433521402,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,20,0.16548002660274505,0.16205304861068726,0.01713488269597292,1.0,0.7745506313340417,0.8137931034482758,0.83125,0.8007633587786259,0.8148015804938842,0.8077120888208379
5,0,21,0.149973726272583,0.14663876295089723,0.016674807667732237,1.0,0.7645326330743987,0.8206896551724138,0.8375,0.8081424936386769,0.8207539614462652,0.8142802333200168
5,0,22,0.13631261140108109,0.1330829605460167,0.016148257441818713,1.0,0.7567460999406618,0.8206896551724138,0.8375,0.8081424936386769,0.8207539614462652,0.8142802333200168
5,0,23,0.12439380437135697,0.12130769938230515,0.015430526994168758,1.0,0.7504784649816053,0.8206896551724138,0.8375,0.8081424936386769,0.8207539614462652,0.8142802333200168
5,0,24,0.11420187503099441,0.1112013652920723,0.015002535283565521,1.0,0.7453961259332197,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,25,0.10520682632923126,0.10229923874139786,0.014537936076521873,1.0,0.7414623075518115,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,26,0.0975016936659813,0.09471000880002975,0.01395842507481575,1.0,0.7381619272560909,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,27,0.09035954624414444,0.08764860183000564,0.013554725144058467,1.0,0.7349223264332475,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,28,0.08440413028001785,0.08175475150346756,0.013246892392635346,1.0,0.7322282467422814,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,29,0.07883321195840835,0.07625821083784104,0.012875005789101123,1.0,0.7292286856421109,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,30,0.07418136745691299,0.07164144292473792,0.012699623964726925,1.0,0.7273850886986173,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
5,0,31,0.06961538195610047,0.06715674325823784,0.012293182499706744,1.0,0.727140823828763,0.8206896551724138,0.8375,0.8081424936386769,0.8193318966689374,0.8127110583933101
