dataset,shot,seed,model,comparison,hybridsn_oa,qnn_oa,delta_oa,hybridsn_macro_f1,qnn_macro_f1,delta_macro_f1,hybridsn_weighted_f1,qnn_weighted_f1,delta_weighted_f1
pavia_university,10,0,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.8975490656399662,0.9002958024227627,0.0027467367827965,0.8622790436612413,0.8657473090090031,0.0034682653477617,0.8976153601489932,0.9013055809363356,0.0036902207873422
pavia_university,10,1,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.7473471687482393,0.8248192318527561,0.0774720631045168,0.633134598405753,0.8300735166715469,0.1969389182657939,0.7374703892049113,0.8309657897355682,0.0934954005306569
pavia_university,10,2,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.8009907033524275,0.8705042727016621,0.0695135693492345,0.8129194504847996,0.878273701512602,0.0653542510278023,0.8217979821040112,0.8837796692459329,0.0619816871419216
pavia_university,10,3,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.8418865621185088,0.8509484458634614,0.0090618837449526,0.8359958329237123,0.8697393617440805,0.0337435288203682,0.8434700626365937,0.8523164597634153,0.0088463971268215
pavia_university,10,4,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.8253122358906939,0.841769180204714,0.0164569443140201,0.8155510640620265,0.8527145761012663,0.0371635120392398,0.8398066280229542,0.8561068015409267,0.0163001735179724
salinas,10,0,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.911408872121764,0.8580906539798175,-0.0533182181419464,0.9370495458884958,0.9373899737940976,0.0003404279056018,0.9126156577270474,0.8589115957837742,-0.0537040619432732
salinas,10,1,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.956865951792451,0.9464959393410024,-0.0103700124514486,0.975173410514579,0.9675125646947772,-0.0076608458198018,0.956984382643538,0.9469263894520832,-0.0100579931914547
salinas,10,2,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.9435782118233008,0.9281161144046536,-0.0154620974186473,0.9630614098513072,0.9630231039485808,-3.830590272646539e-05,0.9436368037242812,0.9280065737991132,-0.0156302299251679
salinas,10,3,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.9430021000204428,0.9524800683900464,0.0094779683696034,0.9610610207427712,0.9705673378316207,0.0095063170888496,0.9433312562684516,0.9530049178455662,0.0096736615771145
salinas,10,4,spectral_qnn_confguard_gated_supcon,ConfidenceGuard-C + SupCon vs HybridSN-small,0.9252355553903622,0.9447118511773124,0.0194762957869502,0.935743628939,0.9677011771451084,0.0319575482061085,0.9242604876238814,0.9451333472815012,0.0208728596576198
indian_pines,5,0,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.7334397446129289,0.7302474062250599,-0.0031923383878690315,0.6583653024297598,0.6596729226975901,0.0013076202678303783,0.7510222410551156,0.7464563016276304,-0.004565939427485177
indian_pines,5,1,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.7335395051875498,0.7149840383080607,-0.01855546687948917,0.647414822448068,0.6309207618797972,-0.016494060568270852,0.7386643270710723,0.7149168954656364,-0.02374743160543591
indian_pines,5,2,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.690243415802075,0.7022146847565842,0.011971268954509173,0.5974467497063234,0.6188105280733806,0.021363778367057162,0.6925031152621728,0.6982438229697833,0.005740707707610482
indian_pines,5,3,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.713487629688747,0.7127893056664006,-0.0006983240223463749,0.6520246711424218,0.6507672754230125,-0.0012573957194093044,0.7388876546096055,0.7359476587011572,-0.0029399959084482896
indian_pines,5,4,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.7302474062250599,0.7426177174780527,0.012370311252992816,0.6350115583867537,0.6418005021822712,0.0067889437955175325,0.7422631807263547,0.7499311646000644,0.007667983873709705
indian_pines,10,0,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.784759223886599,0.7792299185684126,-0.005529305318186406,0.703283115723794,0.6916477173003337,-0.011635398423460286,0.7932298145982848,0.7903005634768404,-0.002929251121444376
indian_pines,10,1,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.7661606514526993,0.7917965215642907,0.025635870111591408,0.6859874049524667,0.7063450942118759,0.020357689259409173,0.7705086630302019,0.796709618522603,0.02620095549240109
indian_pines,10,2,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.8311048557353976,0.8438725243792098,0.01276766864381218,0.7414587218735802,0.7444772419553803,0.0030185200818001467,0.8415702723437987,0.8544749911242434,0.012904718780444746
indian_pines,10,3,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.7942093093394993,0.8122046848295968,0.017995375490097554,0.7120680155866488,0.7435616300329638,0.031493614446315044,0.8013719828097221,0.8169051039611158,0.015533121151393714
indian_pines,10,4,spectral_qnn_gated_supcon,Spectral QNN + SupCon vs HybridSN-small,0.8298984618477933,0.8264803458329144,-0.003418116014878847,0.7338603685127811,0.7271495912542059,-0.006710777258575273,0.8369782035268242,0.8311370566815837,-0.005841146845240508
