dataset_id,family,model,learning_rate,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,device,C,gamma,validation_Macro-F1
indian_pines,mlp,mlp_h256_d0.0_lr0.003,0.003,0.8404878048780487,0.7719065684573655,0.8172576419856803,0.7854943076329604,0.8376895501588736,0.5487060546875,cpu,,,
indian_pines,mlp,mlp_h128_d0.0_lr0.003,0.003,0.8302439024390244,0.7522907520436997,0.8052397941524675,0.7599244025196875,0.8270977605302909,0.415363073348999,cpu,,,
indian_pines,mlp,mlp_h256_d0.2_lr0.003,0.003,0.8407317073170731,0.7587638105462637,0.8177914813961584,0.7593200748667712,0.8377751259097,0.7127277851104736,cpu,,,
indian_pines,mlp,mlp_h256_d0.0_lr0.01,0.01,0.8210975609756097,0.7594205845076543,0.795316209945804,0.7578709826421924,0.8192615562233133,0.4643812179565429,cpu,,,
indian_pines,mlp,mlp_h128_d0.0_lr0.01,0.01,0.834390243902439,0.7649434649355791,0.8106023722530808,0.7577974786559591,0.8328977550759067,0.4095971584320068,cpu,,,
indian_pines,bottleneck,bottleneck_b32_relu_lr0.01,0.01,0.8159756097560975,0.7551738054312565,0.7903302773429309,0.7567555868859362,0.814030164312075,0.423414945602417,cpu,,,
indian_pines,mlp,mlp_h64_d0.0_lr0.01,0.01,0.8220731707317073,0.7231958138868588,0.7958303331261966,0.7493346354177904,0.8184641136218292,0.3834843635559082,cpu,,,
indian_pines,mlp,mlp_h256_d0.2_lr0.01,0.01,0.8071951219512196,0.7242303188805421,0.7796364363253634,0.7468235929906397,0.804669820039304,0.6213686466217041,cpu,,,
indian_pines,mlp,mlp_h128_d0.2_lr0.01,0.01,0.814390243902439,0.7228365666156013,0.7861208352844754,0.744304802612187,0.810972343543412,0.4563021659851074,cpu,,,
indian_pines,linear,linear_lr0.01,0.01,0.8004878048780488,0.7062559352367467,0.7693564597873954,0.7333334748725702,0.794266059534071,0.3201353549957275,cpu,,,
indian_pines,mlp,mlp_h256_d0.0_lr0.001,0.001,0.8276829268292683,0.7093005937137159,0.802945799244277,0.7156790884725517,0.8240809401400422,0.5555858612060547,cpu,,,
indian_pines,mlp,mlp_h128_d0.2_lr0.003,0.003,0.8174390243902439,0.7009159253822304,0.7902047849046161,0.710710863314725,0.8118992995147497,0.4397099018096924,cpu,,,
indian_pines,mlp,mlp_h256_d0.2_lr0.001,0.001,0.818170731707317,0.6905693805787827,0.791540068460218,0.6907717671690249,0.8130440812891281,0.6343963146209717,cpu,,,
