dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,residual_scale_final
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,0,0.8796131092121326,0.8780921204878078,0.8437673538378994,0.8312219149688764,0.8838292621481251,11,12.527462720870972,73.60248613357544,1456,90,90,42596,0.021241001784801483
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,1,0.8326368673114847,0.8465673016840323,0.7853916664185481,0.8161181795104906,0.8392137891998668,30,23.742401123046875,72.74967288970947,1456,90,90,42596,0.0342789962887764
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,2,0.8383885810874261,0.8918203330548534,0.7952446411536921,0.8423978999593369,0.8539698377465723,12,11.748255968093872,67.09637498855591,1456,90,90,42596,0.0214859489351511
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,3,0.8436238144426706,0.8773378505844239,0.7981567783868204,0.8544494283772975,0.845619924313473,12,11.830099821090698,67.27037215232849,1456,90,90,42596,0.021975114941596985
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,4,0.8292562681941966,0.8656992472307607,0.7831648575021003,0.825501036373864,0.8441982713882488,22,17.08693289756775,67.50332522392273,1456,90,90,42596,0.025379778817296028
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,0.8519206824137227,0.9399757163330978,0.8362989091931192,0.927721729380673,0.8509512519694038,16,26.640032052993774,89.7966570854187,2177,160,160,53809,0.028921009972691536
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,0.9503800479473694,0.9761923188615118,0.944753082859432,0.9719301718604172,0.950462000090019,13,23.98958468437195,91.99182915687561,2177,160,160,53809,0.026888633146882057
salinas,spectral_qnn_residualsafe_gated_supcon,10,2,0.9376126670259622,0.967944995981813,0.9304948479058842,0.9635010720115085,0.9372117925068437,11,22.23486614227295,93.0295820236206,2177,160,160,53809,0.024475213140249252
salinas,spectral_qnn_residualsafe_gated_supcon,10,3,0.9451392889665298,0.9709637366369078,0.9389930916051866,0.9643016813389007,0.945745943901666,21,32.424155950546265,91.33938121795654,2177,160,160,53809,0.03515046462416649
salinas,spectral_qnn_residualsafe_gated_supcon,10,4,0.9309223364121244,0.9622960056405162,0.9233787063172537,0.9525911080734486,0.9318190870586872,9,17.882435083389282,85.94253492355347,2177,160,160,53809,0.023475605994462967
