epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.4495566487312317,0.3678048780487805,0.13151041666666669,0.20114596225107972,0.08299356741662647
2,1.9007094502449036,0.4575609756097561,0.20841498531230673,0.334524393376772,0.15829863053492538
3,1.6397030353546143,0.49560975609756097,0.24738656308488005,0.38606115232935867,0.21268995506784893
4,1.4630549550056458,0.5404878048780488,0.29365755955368716,0.44708306323599145,0.25889312169931655
5,1.3384737968444824,0.5580487804878049,0.30878753906321865,0.4744238272517457,0.277386099973742
6,1.2385811507701874,0.5551219512195122,0.3036609636532379,0.4691471600395243,0.2774622895585997
7,1.15176060795784,0.6175609756097561,0.35444720668981844,0.5523199586414058,0.33574854632750417
8,1.0805595219135284,0.6487804878048781,0.4136073253373551,0.5901088488723549,0.4152557998847247
9,1.0352915972471237,0.6751219512195122,0.44623556905833006,0.6232690741243552,0.4484078579512157
10,0.9805344492197037,0.6839024390243903,0.46342852204541496,0.63447452273115,0.478980481376441
11,0.9378652423620224,0.7004878048780487,0.49955292490714787,0.6523097219582694,0.522354708988301
12,0.9056146144866943,0.7317073170731707,0.5482491310084803,0.6923625140108071,0.5607328360500972
13,0.8555135726928711,0.728780487804878,0.5539148550958441,0.6875137079440277,0.5632908729101472
14,0.8152803927659988,0.7346341463414634,0.5605682103845062,0.695417719085117,0.5725954110022147
15,0.7988400012254715,0.7463414634146341,0.5866125302822478,0.71013105556891,0.5922493142772247
