dataset,shot,prototype_delta_macro_f1,supcon_delta_macro_f1,supcon_minus_prototype_macro_f1,prototype_std_delta_macro_f1,supcon_std_delta_macro_f1,prototype_positive_seed_count_macro_f1,supcon_positive_seed_count_macro_f1,prototype_negative_seed_count_macro_f1,supcon_negative_seed_count_macro_f1,prototype_delta_oa,supcon_delta_oa,prototype_std_delta_oa,supcon_std_delta_oa,winner_by_macro_f1_mean,stability_interpretation
indian_pines,5,0.003158568709028975,0.0023417772285450056,-0.0008167914804839693,0.013144849877458812,0.01369695340052482,3,3,2,2,0.00031923383878695866,0.00037909018355941626,0.012245463229519875,0.01275344429928076,Prototype,prototype_slightly_stronger
indian_pines,10,0.0028925262166928922,0.007304729621097739,0.004412203404404846,0.011760751645499867,0.0182278384625015,3,3,2,2,0.007620388056700511,0.009490298582487178,0.011618915585629356,0.013564407805681007,SupCon,both_positive_mixed_stability
pavia_university,5,0.05897532258816951,0.062011374605593916,0.0030360520174244066,0.051785227872685136,0.061584679337234036,5,4,0,1,0.01784198306793927,0.02369550432682166,0.023514276857044658,0.022749289951162648,SupCon,supcon_slightly_stronger
pavia_university,10,0.0692957969515613,0.073925449530718,0.004629652579156707,0.08871681240071153,0.08420933909350085,5,5,0,0,0.0405343224715935,0.04087707765987414,0.04579226758996806,0.04063920328238716,SupCon,supcon_slightly_stronger
salinas,5,0.03688150067770335,0.025758861111756515,-0.011122639565946835,0.10053616958531056,0.10048058643114811,1,2,4,3,0.012321624079125404,-0.013498116498729007,0.08490893103349494,0.08585698078795226,Prototype,prototype_slightly_stronger
salinas,10,-0.004783656980919537,0.0026243566566975796,0.007408013637617117,0.008431714355186864,0.01711693055733237,2,1,3,4,-0.028801873292571778,-0.01888159973238679,0.027325212791447482,0.025632611699252846,SupCon,supcon_mitigates_prototype_negative_transfer
