dataset,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
indian_pines,1,0,0.5390640491770772,0.6143412879412489,0.4838979824392536,0.4346308334900446,0.5416718928296697,80,82.52735185623169,32.56937909126282,99488,16,147,10086
indian_pines,1,1,0.4444774935554234,0.6294413817726996,0.3844918211988686,0.3669111862282459,0.4261808825998401,102,98.1568088531494,33.739299058914185,99488,16,147,10086
indian_pines,1,2,0.3776521911560579,0.5956309891695148,0.3238375839853273,0.3458363112206452,0.3728073982119254,105,105.49952387809752,33.67566394805908,99488,16,147,10086
indian_pines,1,3,0.3853856831251239,0.5949061803516811,0.3299631328754747,0.3696874005193256,0.3712878157236612,42,55.81538200378418,33.47973394393921,99488,16,147,10086
indian_pines,1,4,0.3279793773547491,0.5849192090928161,0.2789524607928092,0.3703756569142672,0.300616018262368,65,72.8226249217987,33.858824014663696,99488,16,147,10086
indian_pines,5,0,0.7334397446129289,0.8340394451781122,0.7026082719895506,0.6583653024297598,0.7510222410551156,120,225.56283712387085,32.78379011154175,99488,80,145,10024
indian_pines,5,1,0.7335395051875498,0.8377835349272249,0.7009973409705468,0.647414822448068,0.7386643270710723,125,232.6902401447296,32.69720220565796,99488,80,145,10024
indian_pines,5,2,0.690243415802075,0.7981885425469801,0.6520678610601983,0.5974467497063234,0.6925031152621728,112,209.8777997493744,33.85488414764404,99488,80,145,10024
indian_pines,5,3,0.713487629688747,0.8286800258067649,0.6802812261763718,0.6520246711424218,0.7388876546096055,141,256.1145317554474,33.16048789024353,99488,80,145,10024
indian_pines,5,4,0.7302474062250599,0.8342866067840529,0.6970338161075057,0.6350115583867537,0.7422631807263547,92,176.7433259487152,32.350247859954834,99488,80,145,10024
indian_pines,10,0,0.784759223886599,0.8838975696604072,0.758815032400727,0.703283115723794,0.7932298145982848,88,289.3408007621765,32.38310098648071,99488,160,142,9947
indian_pines,10,1,0.7661606514526993,0.8697744977097309,0.738214077854487,0.6859874049524667,0.7705086630302019,71,250.89023995399475,32.95943093299866,99488,160,142,9947
indian_pines,10,2,0.8311048557353976,0.8966452747599196,0.8092816653367176,0.7414587218735802,0.8415702723437987,76,263.23262786865234,32.540130615234375,99488,160,142,9947
indian_pines,10,3,0.7942093093394993,0.8883930622275689,0.7683257952634692,0.7120680155866488,0.8013719828097221,90,270.2237141132355,28.520159006118774,99488,160,142,9947
indian_pines,10,4,0.8298984618477933,0.8934523070337661,0.8074644845449295,0.7338603685127811,0.8369782035268242,100,287.8981091976166,28.55236506462097,99488,160,142,9947
